Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,hilbert,3.2,0.043361308473495244,3.2003372128815446,3.2003372128815446,1.0,250.0,250.0
Class1,P2,hilbert,5.6875,0.014747650790213566,5.6875323141290846,5.6875323141290846,0.448,250.0,112.0
Class1,P3,hilbert,2.5555555555555554,0.003451925362913383,2.5555592247718573,2.5555592247718573,0.756,250.0,189.0
Class2,P1,hilbert,3.328,0.04540384823256238,3.3283487612373013,3.3283487612373013,1.0,250.0,250.0
Class2,P2,hilbert,3.657142857142857,0.009904737359143332,3.6571627514741163,3.6571627514741163,0.7,250.0,175.0
Class2,P3,hilbert,2.8260869565217392,0.005841619459093268,2.826096006991228,2.826096006991228,0.46,250.0,115.0
Class3,P1,hilbert,4.102362204724409,0.055937123893651214,4.102767342029586,4.102767342029586,0.508,250.0,127.0
Class3,P2,hilbert,2.953488372093023,0.004602577974978691,2.9534941218320903,2.9255871691276725,0.864,250.0,215.0
Class3,P3,hilbert,1.8571428571428572,0.003644682249348359,1.8571484810194618,1.8571484810194618,0.504,250.0,126.0
Class4,P1,hilbert,,,,,0.48,50.0,24.0
Class4,P2,hilbert,,,,,0.0,50.0,0.0
Class4,P3,hilbert,,,,,0.0,50.0,0.0
