Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,,,,,0,39,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0002,0.5,0.00011405703776101728,0.5000000130090076,0.0,2,40,"[40, 41]",250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0003,1.5,0.0008554753543691951,1.5000002866778268,1.0000000270862288,2,40,"[41, 42]",250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0004,0.5,0.0004360886191689395,0.5000001901732476,0.0,2,42,"[42, 43]",250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0005,0.5,0.000158448971983971,0.5000000251060761,0.0,2,39,"[39, 40]",250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0006,,,,,0,41,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0007,0.5,0.0003535676078004757,0.5000001250100377,0.0,2,42,"[42, 43]",250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0008,,,,,0,38,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0009,,,,,0,38,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0010,,,,,0,41,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0011,,,,,0,35,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0012,,,,,0,36,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0013,0.5,0.0011140845315321113,0.5000012411828029,0.0,2,36,"[36, 37]",250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0014,,,,,0,41,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0015,,,,,0,23,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0016,,,,,0,29,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0017,,,,,0,27,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0018,,,,,0,28,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0019,,,,,0,28,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0020,1.5,0.0013688210700165127,1.500000631797868,1.0000002992204493,2,37,"[38, 39]",250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0021,2.5,0.0033803420875762047,2.500003477159385,2.0000064925019805,2,37,"[39, 40]",250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0022,,,,,0,41,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0023,0.5,9.05487219575174e-05,0.500000008199071,0.0,2,45,"[44, 45]",250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0024,0.5,0.0008740192366739064,0.5000007639090425,0.0,2,46,"[46, 47]",250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0025,2.0,0.0026651304721163616,2.00000177572932,2.00000177572932,1,43,[45],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0026,,,,,0,41,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0027,,,,,0,44,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0028,,,,,0,45,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0029,2.5,0.005175410333663366,2.5000061899882655,2.0000094247520446,2,58,"[60, 61]",250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0030,,,,,0,28,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0031,,,,,0,27,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0032,,,,,0,34,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0033,,,,,0,34,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0034,,,,,0,31,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0035,,,,,0,39,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0036,,,,,0,40,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0037,,,,,0,39,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0038,,,,,0,38,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0039,,,,,0,29,[],250,75,modified_scholkmann_1-2_99
Class1,P1,Class1_it2_example_0040,,,,,0,29,[],250,75,modified_scholkmann_1-2_99
