Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave_d2x=-0-002,0.20068027210884354,0.00021515770178433155,0.20068048830335095,0.20068048830335095,0.98,300.0,294.0
Class1,P2,concave_d2x=-0-002,0.3333333333333333,0.0002839063581981691,0.3333335534006914,0.3333335534006914,0.06,300.0,18.0
Class1,P3,concave_d2x=-0-002,0.6666666666666666,0.00016159475482263597,0.6666666977972423,0.6666666977972423,0.02,300.0,6.0
Class2,P1,concave_d2x=-0-002,0.31601731601731603,0.00041677903063669917,0.3160178001354759,0.3160178001354759,0.77,300.0,231.0
Class2,P2,concave_d2x=-0-002,0.8387096774193549,0.0006338875811927352,0.8387100143639168,0.8387100143639168,0.20666666666666667,300.0,62.0
Class2,P3,concave_d2x=-0-002,0.5,0.0003533595011483634,0.500000219716781,0.500000219716781,0.05333333333333334,300.0,16.0
Class3,P1,concave_d2x=-0-002,0.45864661654135336,0.0007801896835497694,0.45864791337916316,0.45864791337916316,0.44333333333333336,300.0,133.0
Class3,P2,concave_d2x=-0-002,0.3384615384615385,0.0003307442115951336,0.33846179607456056,0.33846179607456056,0.43333333333333335,300.0,130.0
Class3,P3,concave_d2x=-0-002,1.4375,0.007301243630327019,1.4375228545359422,1.4375228545359422,0.05333333333333334,300.0,16.0
Class4,P1,concave_d2x=-0-002,,,,,0.03,100.0,3.0
Class4,P2,concave_d2x=-0-002,,,,,0.0,100.0,0.0
Class4,P3,concave_d2x=-0-002,,,,,0.0,100.0,0.0
