Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave_d2x=0-002,44.87914285714286,0.3613701472958778,44.88150603859755,0.2000002119000199,3.9433333333333334,300.0,300.0
Class1,P2,concave_d2x=0-002,39.319367724867725,0.25718383720137356,39.32044584082645,11.243901707641687,3.9433333333333334,300.0,300.0
Class1,P3,concave_d2x=0-002,43.26433333333333,0.23165172007315504,43.26506492266979,1.160007718128023,3.9433333333333334,300.0,300.0
Class2,P1,concave_d2x=0-002,32.61847619047619,0.18918858799039817,32.62007635607255,1.9900418654602856,3.5866666666666664,300.0,300.0
Class2,P2,concave_d2x=0-002,26.886119047619047,0.1964338606646704,26.887267008187337,1.4000029726618557,3.5866666666666664,300.0,300.0
Class2,P3,concave_d2x=0-002,39.47148148148148,0.21015366283188425,39.47225807461608,6.640242184589949,3.5866666666666664,300.0,300.0
Class3,P1,concave_d2x=0-002,38.42033333333333,0.31281573429722564,38.42219323062467,14.32174845981894,2.94,300.0,300.0
Class3,P2,concave_d2x=0-002,21.2081746031746,0.17498839898118643,21.209163833941183,0.6266710521166546,2.94,300.0,300.0
Class3,P3,concave_d2x=0-002,27.442880952380953,0.17200134389434965,27.44356456276879,3.0933976479292773,2.94,300.0,300.0
Class4,P1,concave_d2x=0-002,,,,,1.47,100.0,100.0
Class4,P2,concave_d2x=0-002,11.105833333333333,0.14979763022153772,11.106988948138746,1.2800280560602884,1.47,100.0,100.0
Class4,P3,concave_d2x=0-002,,,,,1.47,100.0,100.0
