Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,2.0,0.043150995676517145,2.000465447946521,2.000465447946521,1,31,[29],300,300,curvature
Class1,P1,Class1_example_0002,1.0,0.016895835921514113,1.000142724450609,1.000142724450609,1,31,[30],300,300,curvature
Class1,P1,Class1_example_0003,2.0,0.03268718408825588,2.000267095165948,2.000267095165948,1,33,[31],300,300,curvature
Class1,P1,Class1_example_0004,2.0,0.018082325465389237,2.000081740953163,2.000081740953163,1,38,[36],300,300,curvature
Class1,P1,Class1_example_0005,3.0,0.02546751078511056,3.000108097070102,3.000108097070102,1,38,[35],300,300,curvature
Class1,P1,Class1_example_0006,0.0,0.0,0.0,0.0,1,25,[25],300,300,curvature
Class1,P1,Class1_example_0007,2.0,0.036134674970246694,2.000326402049227,2.000326402049227,1,31,[29],300,300,curvature
Class1,P1,Class1_example_0008,3.0,0.05513756330451336,3.0005066490323196,3.0005066490323196,1,31,[28],300,300,curvature
Class1,P1,Class1_example_0009,2.0,0.030633306904985114,2.0002345861153223,2.0002345861153223,1,37,[35],300,300,curvature
Class1,P1,Class1_example_0010,1.0,0.021303717638771813,1.0002268984511626,1.0002268984511626,1,29,[28],300,300,curvature
Class1,P1,Class1_example_0011,0.0,0.0,0.0,0.0,1,28,[28],300,300,curvature
Class1,P1,Class1_example_0012,1.0,0.015834181303338246,1.0001253527921121,1.0001253527921121,1,29,[28],300,300,curvature
Class1,P1,Class1_example_0013,5.0,0.06447222295431099,5.000415649476818,5.000415649476818,1,38,[33],300,300,curvature
Class1,P1,Class1_example_0014,2.0,0.02413297658993685,2.0001455948403084,2.0001455948403084,1,35,[33],300,300,curvature
Class1,P1,Class1_example_0015,2.0,0.0291290061842292,2.0002121135022857,2.0002121135022857,1,32,[30],300,300,curvature
Class1,P1,Class1_example_0016,3.0,0.041516073910229045,3.000287250313363,3.000287250313363,1,33,[30],300,300,curvature
Class1,P1,Class1_example_0017,1.0,0.01682742034470408,1.0001415710165522,1.0001415710165522,1,32,[31],300,300,curvature
Class1,P1,Class1_example_0018,1.0,0.01747200745056865,1.0001526238751528,1.0001526238751528,1,30,[29],300,300,curvature
Class1,P1,Class1_example_0019,0.0,0.0,0.0,0.0,1,25,[25],300,300,curvature
Class1,P1,Class1_example_0020,1.0,0.02453413620476208,1.0003009166442436,1.0003009166442436,1,21,[22],300,300,curvature
Class1,P1,Class1_example_0021,1.0,0.022679903145480407,1.0002571559387556,1.0002571559387556,1,21,[22],300,300,curvature
Class1,P1,Class1_example_0022,0.0,0.0,0.0,0.0,1,22,[22],300,300,curvature
Class1,P1,Class1_example_0023,2.0,0.03590909831815581,2.0003223398597596,2.0003223398597596,1,37,[35],300,300,curvature
Class1,P1,Class1_example_0024,2.0,0.026157303027135592,2.000171043811417,2.000171043811417,1,44,[42],300,300,curvature
Class1,P1,Class1_example_0025,2.0,0.024048794407887986,2.0001445809022087,2.0001445809022087,1,38,[36],300,300,curvature
Class1,P1,Class1_example_0026,2.0,0.029819810780342793,2.0002222929252076,2.0002222929252076,1,39,[37],300,300,curvature
Class1,P1,Class1_example_0027,1.0,0.018653080567153202,1.0001739535773988,1.0001739535773988,1,31,[30],300,300,curvature
Class1,P1,Class1_example_0028,1.0,0.01602127898128647,1.0001283324554886,1.0001283324554886,1,31,[30],300,300,curvature
Class1,P1,Class1_example_0029,1.0,0.011490354879817977,1.0000660119488434,1.0000660119488434,1,39,[38],300,300,curvature
Class1,P1,Class1_example_0030,1.0,0.01824940755764215,1.0001665065758827,1.0001665065758827,1,25,[24],300,300,curvature
Class1,P1,Class1_example_0031,1.0,0.010500820149415446,1.0000551320921314,1.0000551320921314,1,33,[32],300,300,curvature
Class1,P1,Class1_example_0032,1.0,0.019853876685899663,1.000197068791675,1.000197068791675,1,25,[24],300,300,curvature
Class1,P1,Class1_example_0033,1.0,0.01788581522811339,1.0001599384030408,1.0001599384030408,1,26,[25],300,300,curvature
Class1,P1,Class1_example_0034,4.0,0.045860979797924806,4.000262895044278,4.000262895044278,1,39,[35],300,300,curvature
Class1,P1,Class1_example_0035,2.0,0.03567339364316091,2.0003181224530313,2.0003181224530313,1,32,[30],300,300,curvature
Class1,P1,Class1_example_0036,3.0,0.04141670624198712,3.000285876971715,3.000285876971715,1,36,[33],300,300,curvature
Class1,P1,Class1_example_0037,2.0,0.019615023553903765,2.000096184974368,2.000096184974368,1,37,[35],300,300,curvature
Class1,P1,Class1_example_0038,2.0,0.03396589421139018,2.0002883996987983,2.0002883996987983,1,31,[29],300,300,curvature
Class1,P1,Class1_example_0039,0.0,0.0,0.0,0.0,1,25,[25],300,300,curvature
Class1,P1,Class1_example_0040,3.0,0.05118872831961174,3.00043668253589,3.00043668253589,1,37,[34],300,300,curvature
Class1,P1,Class1_example_0041,2.0,0.03586990593775774,2.000321636675458,2.000321636675458,1,36,[34],300,300,curvature
Class1,P1,Class1_example_0042,2.0,0.02948435525997173,2.000217319994279,2.000217319994279,1,36,[34],300,300,curvature
Class1,P1,Class1_example_0043,3.0,0.038423279559817836,3.000246047978754,3.000246047978754,1,35,[32],300,300,curvature
Class1,P1,Class1_example_0044,1.0,0.013593328792223858,1.0000923850263301,1.0000923850263301,1,35,[34],300,300,curvature
Class1,P1,Class1_example_0045,2.0,0.0247903819031442,2.0001536348578086,2.0001536348578086,1,41,[39],300,300,curvature
Class1,P1,Class1_example_0046,2.0,0.03745266182992568,2.0003506447316046,2.0003506447316046,1,34,[32],300,300,curvature
Class1,P1,Class1_example_0047,2.0,0.024930348405394653,2.0001553745325924,2.0001553745325924,1,37,[35],300,300,curvature
Class1,P1,Class1_example_0048,0.0,0.0,0.0,0.0,1,23,[23],300,300,curvature
Class1,P1,Class1_example_0049,2.0,0.02685003239498185,2.000180222939826,2.000180222939826,1,36,[34],300,300,curvature
Class1,P1,Class1_example_0050,2.0,0.025293020487708318,2.0001599278271205,2.0001599278271205,1,42,[40],300,300,curvature
Class1,P1,Class1_example_0051,0.0,0.0,0.0,0.0,1,29,[29],300,300,curvature
Class1,P1,Class1_example_0052,1.0,0.01397337601001003,1.0000976228534477,1.0000976228534477,1,31,[30],300,300,curvature
