Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave_d2x=-0-002,1.378839590443686,0.007433141398994183,1.3788653673385831,1.3788653673385831,0.9766666666666667,300.0,293.0
Class1,P2,concave_d2x=-0-002,23.826923076923077,0.12412183182762918,23.827471289149457,23.769730835802516,0.09,300.0,26.0
Class1,P3,concave_d2x=-0-002,12.5,0.09020517980955879,12.500370073217464,12.500370073217464,0.06666666666666667,300.0,20.0
Class2,P1,concave_d2x=-0-002,3.509433962264151,0.015783548576344373,3.5094819568837545,2.6085368286539734,0.76,300.0,212.0
Class2,P2,concave_d2x=-0-002,19.065,0.03143747288629945,19.06504522749044,17.500038877629013,0.37333333333333335,300.0,100.0
Class2,P3,concave_d2x=-0-002,18.18,0.110978867940013,18.180466741250136,15.400346895858533,0.09666666666666666,300.0,25.0
Class3,P1,concave_d2x=-0-002,2.1774193548387095,0.010883344292823073,2.177451698243615,2.177451698243615,0.20666666666666667,300.0,62.0
Class3,P2,concave_d2x=-0-002,2.3556701030927836,0.011311127104500098,2.3557078891134244,1.8866268355741893,0.3333333333333333,300.0,97.0
Class3,P3,concave_d2x=-0-002,24.761111111111113,0.1048643867711358,24.761442918604903,24.600330834470935,0.30333333333333334,300.0,90.0
Class4,P1,concave_d2x=-0-002,,,,,0.0,100.0,0.0
Class4,P2,concave_d2x=-0-002,,,,,0.0,100.0,0.0
Class4,P3,concave_d2x=-0-002,,,,,0.0,100.0,0.0
