Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave_tuned,2.9076923076923076,0.018320916224577256,2.907756932183797,2.907756932183797,0.43333333333333335,300.0,130.0
Class1,P2,concave_tuned,8.75,0.027329807660418405,8.750059081308507,8.750059081308507,0.09333333333333334,300.0,28.0
Class1,P3,concave_tuned,4.182509505703422,0.012630068695871464,4.182542590872491,1.8593258615474701,0.9933333333333333,300.0,263.0
Class2,P1,concave_tuned,5.467391304347826,0.03828185977003073,5.467542839350481,5.467542839350481,0.30666666666666664,300.0,92.0
Class2,P2,concave_tuned,10.375,0.02282306351795563,10.375040075814514,7.663500311616881,0.8566666666666667,300.0,208.0
Class2,P3,concave_tuned,7.1118421052631575,0.038887155330104686,7.111998186532291,6.315921157774869,0.2633333333333333,300.0,76.0
Class3,P1,concave_tuned,7.0,0.04437525444583015,7.000152261710005,7.000152261710005,0.006666666666666667,300.0,2.0
Class3,P2,concave_tuned,5.497777777777777,0.019444808728461254,5.497823556130832,5.462268047998571,0.7533333333333333,300.0,225.0
Class3,P3,concave_tuned,7.901639344262295,0.008374512031856473,7.901649056585617,7.901649056585617,0.20333333333333334,300.0,61.0
Class4,P1,concave_tuned,,,,,0.0,100.0,0.0
Class4,P2,concave_tuned,1.3529411764705883,0.0013575540125957603,1.3529420955058382,1.3529420955058382,0.34,100.0,34.0
Class4,P3,concave_tuned,,,,,0.0,100.0,0.0
