Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,30.5,0.18939742119545566,30.500588326840024,2.0000300045460304,2,31,"[33, 90]",300,300,concave
Class1,P1,Class1_example_0002,34.0,0.2578709907743043,34.00098603310231,2.000013020444643,2,31,"[33, 97]",300,300,concave
Class1,P1,Class1_example_0003,60.333333333333336,0.4820314727897106,60.33529118619515,1.0000050762371766,3,33,"[34, 93, 153]",300,300,concave
Class1,P1,Class1_example_0004,60.666666666666664,0.4817524657638527,60.66858501562992,0.0,3,38,"[38, 103, 155]",300,300,concave
Class1,P1,Class1_example_0005,33.0,0.22746450650678873,33.000925200048954,0.0,3,38,"[38, 73, 102]",300,300,concave
Class1,P1,Class1_example_0006,64.33333333333333,0.36877821484755974,64.33439124630272,2.0000462401776264,3,25,"[27, 77, 164]",300,300,concave
Class1,P1,Class1_example_0007,33.0,0.10853366474870557,33.00017905246315,1.000011489809982,2,31,"[32, 96]",300,300,concave
Class1,P1,Class1_example_0008,32.0,0.21965661003579884,32.00075802324596,1.0000039935859246,2,31,"[32, 94]",300,300,concave
Class1,P1,Class1_example_0009,45.0,0.23570908027655418,45.00061911231283,1.0000033073950834,2,37,"[38, 126]",300,300,concave
Class1,P1,Class1_example_0010,30.0,0.26156177340792225,30.001143084730387,2.0000405208999896,2,29,"[31, 87]",300,300,concave
Class1,P1,Class1_example_0011,35.5,0.24288092122152144,35.500832775932054,3.0001060763083953,2,28,"[31, 96]",300,300,concave
Class1,P1,Class1_example_0012,70.66666666666667,0.40860288102233167,70.66785536406478,1.00001121811855,3,29,"[30, 105, 164]",300,300,concave
Class1,P1,Class1_example_0013,63.0,0.3836278941447778,63.00116800791209,63.00116800791209,1,38,[101],300,300,concave
Class1,P1,Class1_example_0014,30.0,0.268755968898045,30.001222704390024,1.0000000565887686,2,35,"[36, 94]",300,300,concave
Class1,P1,Class1_example_0015,30.5,0.14260220942360352,30.50033472942225,1.0000027817485724,2,32,"[33, 92]",300,300,concave
Class1,P1,Class1_example_0016,27.5,0.0833693107070374,27.500126371381782,0.0,2,33,"[33, 88]",300,300,concave
Class1,P1,Class1_example_0017,28.0,0.27134952007896573,28.00133020049675,1.0000224048986879,3,32,"[33, 57, 90]",300,300,concave
Class1,P1,Class1_example_0018,33.5,0.1970370904976732,33.50057957115735,1.0000135005334587,2,30,"[31, 96]",300,300,concave
Class1,P1,Class1_example_0019,30.5,0.0757536761978676,30.500136010774053,3.0001433288577517,2,25,"[28, 83]",300,300,concave
Class1,P1,Class1_example_0020,27.5,0.10386051123163054,27.500241173924493,4.000209708646053,2,21,"[25, 72]",300,300,concave
Class1,P1,Class1_example_0021,29.0,0.1418810276946224,29.00037312832618,3.000169571536676,2,21,"[24, 76]",300,300,concave
Class1,P1,Class1_example_0022,28.5,0.0957282120666646,28.50018088133049,3.000105819363719,2,22,"[25, 76]",300,300,concave
Class1,P1,Class1_example_0023,37.5,0.29482289300771314,37.501162434730986,1.0000085646096366,2,37,"[38, 111]",300,300,concave
Class1,P1,Class1_example_0024,46.5,0.3966989486804892,46.50170208127606,1.000002537538669,2,44,"[45, 136]",300,300,concave
Class1,P1,Class1_example_0025,40.5,0.3894745140659905,40.50187267765661,0.0,2,38,"[38, 119]",300,300,concave
Class1,P1,Class1_example_0026,62.0,0.5581413013708548,62.00261193202064,1.0000021499219156,3,39,"[40, 109, 154]",300,300,concave
Class1,P1,Class1_example_0027,31.5,0.20470949294862978,31.500665310427458,2.000035665190925,2,31,"[33, 92]",300,300,concave
Class1,P1,Class1_example_0028,38.0,0.2827060152774066,38.0010632898848,2.0000071195256397,2,31,"[33, 105]",300,300,concave
Class1,P1,Class1_example_0029,40.333333333333336,0.22124025582626908,40.334033769544654,1.0000026881824198,3,39,"[40, 81, 117]",300,300,concave
Class1,P1,Class1_example_0030,29.0,0.08054572458507758,29.000156630723364,2.000012686378746,3,25,"[27, 49, 86]",300,300,concave
Class1,P1,Class1_example_0031,62.25,0.3534115051747112,62.25112254167165,1.0000007110824223,4,33,"[34, 70, 105, 172]",300,300,concave
Class1,P1,Class1_example_0032,30.333333333333332,0.10589756429672008,30.33359738060876,2.000033469324613,3,25,"[27, 52, 87]",300,300,concave
Class1,P1,Class1_example_0033,30.0,0.09831408844005236,30.00016665193762,1.000016733044374,3,26,"[27, 57, 84]",300,300,concave
Class1,P1,Class1_example_0034,31.0,0.1876766728725207,31.000568100174238,0.0,2,39,"[39, 101]",300,300,concave
Class1,P1,Class1_example_0035,29.0,0.12304370715105999,29.000268255718463,2.0000083505017927,3,32,"[34, 57, 92]",300,300,concave
Class1,P1,Class1_example_0036,37.5,0.20488217081311233,37.500565544559535,1.000000214269864,2,36,"[37, 110]",300,300,concave
Class1,P1,Class1_example_0037,57.25,0.29075746217679127,57.250773243832924,0.0,4,37,"[37, 74, 103, 163]",300,300,concave
Class1,P1,Class1_example_0038,15.0,0.10927387368249647,15.000402078440677,1.0000055236883627,2,31,"[32, 60]",300,300,concave
Class1,P1,Class1_example_0039,22.0,0.1379005330653491,22.000432474093678,3.000070631584766,2,25,"[28, 66]",300,300,concave
Class1,P1,Class1_example_0040,28.0,0.1741836807663228,28.00054436919964,1.0000045941911455,2,37,"[38, 92]",300,300,concave
