Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave_d2x=-0-002,30.53831229745864,0.3603113299453138,30.542180115267673,1.7444139226341973,3.164,250.0,246.0
Class1,P2,concave_d2x=-0-002,41.45371085554012,0.3377166152820217,41.455485117511515,19.838332481411864,3.164,250.0,246.0
Class1,P3,concave_d2x=-0-002,59.13582921143897,0.33835928820461714,59.13696120861872,32.42734301529524,3.164,250.0,246.0
Class2,P1,concave_d2x=-0-002,36.54187736866309,0.32556746535583786,36.54523956808862,5.761467890967023,3.832,250.0,238.0
Class2,P2,concave_d2x=-0-002,38.407267860524165,0.33874963836689626,38.409394354584926,10.500637794084172,3.832,250.0,238.0
Class2,P3,concave_d2x=-0-002,54.853548983696044,0.33714946491288694,54.854926573758846,25.315737687217986,3.832,250.0,238.0
Class3,P1,concave_d2x=-0-002,38.167117117117115,0.3822694686001349,38.17003444074233,20.534639991012995,2.328,250.0,222.0
Class3,P2,concave_d2x=-0-002,29.14737237237237,0.3445574942915585,29.149746100942682,7.10878099251365,2.328,250.0,222.0
Class3,P3,concave_d2x=-0-002,44.103256828256825,0.3234336728908135,44.104680431743034,21.48696229297438,2.328,250.0,222.0
Class4,P1,concave_d2x=-0-002,,,,,1.5,50.0,40.0
Class4,P2,concave_d2x=-0-002,18.82125,0.22232268692110502,18.82282066361804,5.375627113347155,1.5,50.0,40.0
Class4,P3,concave_d2x=-0-002,,,,,1.5,50.0,40.0
