Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,hilbert,2.5086206896551726,0.02615216178070188,2.5087744325938286,2.5087744325938286,0.464,250.0,116.0
Class1,P2,hilbert,28.322674418604652,0.07848248734684476,28.322840852378707,26.889699725408715,0.764,250.0,172.0
Class1,P3,hilbert,5.195555555555556,0.012094386496543793,5.195580929696552,3.755574220439025,0.996,250.0,225.0
Class2,P1,hilbert,3.258974358974359,0.03312351391771021,3.259201347366838,2.600226070952815,0.828,250.0,195.0
Class2,P2,hilbert,9.290575916230367,0.019527327034393357,9.29061019292988,8.586420122901336,0.808,250.0,191.0
Class2,P3,hilbert,12.153061224489797,0.06994047152140055,12.153333864461,8.653282620567062,0.964,250.0,196.0
Class3,P1,hilbert,1.816326530612245,0.019884739515588442,1.8164467471997807,1.7960380154388247,0.2,250.0,49.0
Class3,P2,hilbert,3.69375,0.008778701289625946,3.6937666887088896,3.170846625372407,1.016,250.0,240.0
Class3,P3,hilbert,20.99271844660194,0.10960416876504148,20.993123182553735,17.738258079944064,1.028,250.0,206.0
Class4,P1,hilbert,,,,,0.0,50.0,0.0
Class4,P2,hilbert,3.054054054054054,0.0034034551672153957,3.0540573669774056,3.0540573669774056,0.74,50.0,37.0
Class4,P3,hilbert,,,,,0.0,50.0,0.0
