Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,5.0,0.012272728916230657,5.0000150619648185,5.0000150619648185,1,39,[44],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0002,3.0,0.004650114087236812,3.0000036039246725,3.0000036039246725,1,40,[43],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0003,4.0,0.004949902967077424,4.00000306269125,4.00000306269125,1,40,[44],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0004,3.0,0.0010876207343307742,3.000000197153137,3.000000197153137,1,42,[45],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0005,3.0,0.0038174829487852557,3.0000024288616944,3.0000024288616944,1,39,[42],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0006,,,,,0,41,[],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0007,3.0,0.00179965984818109,3.0000005397958796,3.0000005397958796,1,42,[45],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0008,4.0,0.013904062997677546,4.000024165297985,4.000024165297985,1,38,[42],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0009,4.0,0.006461745529571461,4.000005219266006,4.000005219266006,1,38,[42],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0010,,,,,0,41,[],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0011,,,,,0,35,[],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0012,,,,,0,36,[],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0013,3.0,0.0005746369163337484,3.0000000550345973,3.0000000550345973,1,36,[39],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0014,3.0,0.00623736363626004,3.0000064841105143,3.0000064841105143,1,41,[44],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0015,6.0,0.06104640907064596,6.000310547301733,6.000310547301733,1,23,[29],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0016,,,,,0,29,[],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0017,6.0,0.05188493698041596,6.000224333030013,6.000224333030013,1,27,[33],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0018,4.0,0.02214017212227304,4.000061272933404,4.000061272933404,1,28,[32],250,196,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0019,,,,,0,28,[],250,196,modified_scholkmann0-5
