Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,wavelet,2.6746031746031744,0.02491918636807307,2.6747580977959577,1.895383449121869,1.024,250.0,210.0
Class1,P2,wavelet,22.680716253443528,0.08911056500057231,22.681019541187688,12.834940394747184,1.832,250.0,242.0
Class1,P3,wavelet,18.438933333333335,0.09624847818928114,18.439269132621288,4.7160273396841665,2.292,250.0,250.0
Class2,P1,wavelet,5.534206695778748,0.04114733177351282,5.534470563006008,3.1006884780997264,1.352,250.0,229.0
Class2,P2,wavelet,14.08298755186722,0.03674428784377087,14.083061605529668,7.053993046742529,1.564,250.0,241.0
Class2,P3,wavelet,18.812866666666665,0.12463537594001746,18.813368837753245,6.38009366339861,2.22,250.0,250.0
Class3,P1,wavelet,2.297278911564626,0.0444010241365009,2.297735624166438,2.0534673405582584,1.276,250.0,245.0
Class3,P2,wavelet,5.539650537634408,0.019697754805405122,5.5397035552974145,3.2782672559272563,1.364,250.0,248.0
Class3,P3,wavelet,17.545295698924733,0.10231086671789827,17.54571925981066,9.459998658911994,2.06,250.0,248.0
Class4,P1,wavelet,,,,,0.0,50.0,0.0
Class4,P2,wavelet,2.8181818181818183,0.008908152190543571,2.818201450378916,2.590927675820914,1.02,50.0,44.0
Class4,P3,wavelet,,,,,0.0,50.0,0.0
