Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave_d2x=-0-002,3.2143874643874644,0.014168179056077234,3.2144485166885195,1.3675483170890053,1.02,250.0,234.0
Class1,P2,concave_d2x=-0-002,26.36111111111111,0.22130171915774383,26.362298676128418,25.548185353836924,1.02,250.0,234.0
Class1,P3,concave_d2x=-0-002,58.26424501424502,0.29784839737408975,58.26514863880338,56.441062850150765,1.02,250.0,234.0
Class2,P1,concave_d2x=-0-002,13.149523809523808,0.03493234065812353,13.149617353857165,3.4572173390389294,1.104,250.0,175.0
Class2,P2,concave_d2x=-0-002,22.47714285714286,0.04722348138447739,22.477231891639118,14.954342065439217,1.104,250.0,175.0
Class2,P3,concave_d2x=-0-002,47.81809523809523,0.13850348306137508,47.818443577919915,38.160405939602164,1.104,250.0,175.0
Class3,P1,concave_d2x=-0-002,29.277310924369747,0.3152744758636979,29.27929041326913,26.10278216666187,0.556,250.0,119.0
Class3,P2,concave_d2x=-0-002,7.044817927170869,0.04710724493688974,7.045002003142469,4.420273965345834,0.556,250.0,119.0
Class3,P3,concave_d2x=-0-002,29.95798319327731,0.17676617569151387,29.958703401264874,26.773817949316697,0.556,250.0,119.0
Class4,P1,concave_d2x=-0-002,,,,,0.24,50.0,12.0
Class4,P2,concave_d2x=-0-002,0.4166666666666667,0.0003986202778061554,0.41666689493673953,0.41666689493673953,0.24,50.0,12.0
Class4,P3,concave_d2x=-0-002,,,,,0.24,50.0,12.0
