Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,2.0,0.0018303641178525343,2.0000008375580256,2.0000008375580256,1,39,[41],250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0002,33.0,0.14054013807315785,33.00030338827359,1.0000000260180153,2,40,"[41, 105]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0003,2.0,0.001478200932612861,2.000000546269425,2.000000546269425,1,40,[42],250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0004,1.0,0.000872177238337879,1.0000003803464952,1.0000003803464952,1,42,[43],250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0005,33.0,0.16650227069304196,33.000425718733915,1.0000000502121522,2,39,"[40, 104]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0006,61.0,0.27186505930843596,61.00060582166765,61.00060582166765,1,41,[102],250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0007,32.5,0.16880497024434027,32.500443494986186,1.0000002500200753,2,42,"[43, 106]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0008,33.0,0.11552607070527392,33.000205423524555,2.0000007377790654,3,38,"[40, 70, 103]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0009,33.666666666666664,0.12121755254436566,33.66688725515572,1.0000000049420708,3,38,"[39, 70, 106]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0010,,,,,0,41,[],250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0011,46.5,0.18572202407851568,46.50037181009941,29.000198298597798,2,35,"[64, 99]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0012,69.0,0.321542692802262,69.00074919668116,69.00074919668116,1,36,[105],250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0013,23.5,0.12499047521160073,23.50033483354985,1.0000024823656057,2,36,"[37, 82]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0014,24.0,0.08049425710544772,24.00013498556679,0.0,2,41,"[41, 89]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0015,27.0,0.0849105175723282,27.00016407279323,4.000143283384579,2,23,"[27, 73]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0016,53.0,0.11065826129297507,53.00011552110799,53.00011552110799,1,29,[82],250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0017,33.0,0.23560759677284526,33.000842532955105,3.000108550342425,2,27,"[30, 90]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0018,32.5,0.18658466071359298,32.50053620420995,2.0000216466230802,2,28,"[30, 91]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0019,57.0,0.05616561869820258,57.00002767171893,57.00002767171893,1,28,[85],250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0020,34.0,0.21140901113485822,34.000664775491465,1.0000002992204493,2,37,"[38, 104]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0021,46.0,0.37337432744462057,46.00154477326336,2.0000064925019805,3,37,"[39, 87, 123]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0022,43.5,0.200700623143024,43.5004667013434,1.0000003083945421,2,41,"[42, 127]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0023,36.5,0.13386857199060714,36.50024548951098,0.0,2,45,"[45, 118]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0024,45.0,0.2337368054383976,45.000607028063705,0.0,2,46,"[46, 136]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0025,94.0,0.5293109548407746,94.00149025460668,94.00149025460668,1,43,[137],250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0026,46.5,0.15069776850700267,46.50024422543704,1.0000041223645069,2,41,"[42, 133]",250,238,modified_scholkmann1
Class1,P1,Class1_it2_example_0027,87.0,0.31737822413203387,87.00057890001165,87.00057890001165,1,44,[131],250,238,modified_scholkmann1
