Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,,,,,0,31,[],300,151,line_distance_8
Class1,P1,Class1_example_0002,3.0,0.039242846299327394,3.0002566558522408,3.0002566558522408,1,31,[28],300,151,line_distance_8
Class1,P1,Class1_example_0003,3.0,0.02382380364984915,3.00009459411205,3.00009459411205,1,33,[30],300,151,line_distance_8
Class1,P1,Class1_example_0004,3.0,0.02081151311223728,3.0000721856445423,3.0000721856445423,1,38,[35],300,151,line_distance_8
Class1,P1,Class1_example_0005,,,,,0,38,[],300,151,line_distance_8
Class1,P1,Class1_example_0006,3.0,0.02945083988777919,3.0001445551789825,3.0001445551789825,1,25,[22],300,151,line_distance_8
Class1,P1,Class1_example_0007,,,,,0,31,[],300,151,line_distance_8
Class1,P1,Class1_example_0008,4.0,0.03801553314982287,4.000180643516074,4.000180643516074,1,31,[27],300,151,line_distance_8
Class1,P1,Class1_example_0009,4.0,0.04117515038900521,4.0002119185125125,4.0002119185125125,1,37,[33],300,151,line_distance_8
Class1,P1,Class1_example_0010,,,,,0,29,[],300,151,line_distance_8
Class1,P1,Class1_example_0011,,,,,0,28,[],300,151,line_distance_8
Class1,P1,Class1_example_0012,2.0,0.015684438311498128,2.000061499455741,2.000061499455741,1,29,[27],300,151,line_distance_8
Class1,P1,Class1_example_0013,6.0,0.04999011383421559,6.00020824734285,6.00020824734285,1,38,[32],300,151,line_distance_8
Class1,P1,Class1_example_0014,3.0,0.020408881735589524,3.000069419605769,3.000069419605769,1,35,[32],300,151,line_distance_8
Class1,P1,Class1_example_0015,3.0,0.020998114661863188,3.000073485903196,3.000073485903196,1,32,[29],300,151,line_distance_8
Class1,P1,Class1_example_0016,4.0,0.030412941709879182,4.000115616707029,4.000115616707029,1,33,[29],300,151,line_distance_8
Class1,P1,Class1_example_0017,2.0,0.016158317735437633,2.0000652717429097,2.0000652717429097,1,32,[30],300,151,line_distance_8
Class1,P1,Class1_example_0018,,,,,0,30,[],300,151,line_distance_8
Class1,P1,Class1_example_0019,,,,,0,25,[],300,151,line_distance_8
Class1,P1,Class1_example_0020,,,,,0,21,[],300,151,line_distance_8
Class1,P1,Class1_example_0021,,,,,0,21,[],300,151,line_distance_8
Class1,P1,Class1_example_0022,,,,,0,22,[],300,151,line_distance_8
Class1,P1,Class1_example_0023,3.0,0.02879797557633057,3.0001382173822084,3.0001382173822084,1,37,[34],300,151,line_distance_8
Class1,P1,Class1_example_0024,3.0,0.02878444662799362,3.000138087549918,3.000138087549918,1,44,[41],300,151,line_distance_8
Class1,P1,Class1_example_0025,3.0,0.025013550035046794,3.000104277801916,3.000104277801916,1,38,[35],300,151,line_distance_8
Class1,P1,Class1_example_0026,,,,,0,39,[],300,151,line_distance_8
Class1,P1,Class1_example_0027,3.0,0.04156216795670864,3.00028788848758,3.00028788848758,1,31,[28],300,151,line_distance_8
Class1,P1,Class1_example_0028,3.0,0.038079283747846415,3.000241662241685,3.000241662241685,1,31,[28],300,151,line_distance_8
Class1,P1,Class1_example_0029,3.0,0.03171228136460302,3.000167606782886,3.000167606782886,1,39,[36],300,151,line_distance_8
Class1,P1,Class1_example_0030,,,,,0,25,[],300,151,line_distance_8
Class1,P1,Class1_example_0031,2.0,0.012696180697896575,2.000040297845099,2.000040297845099,1,33,[31],300,151,line_distance_8
Class1,P1,Class1_example_0032,,,,,0,25,[],300,151,line_distance_8
Class1,P1,Class1_example_0033,3.0,0.028511029102318175,3.0001354767377544,3.0001354767377544,1,26,[23],300,151,line_distance_8
Class1,P1,Class1_example_0034,5.0,0.03951915150323482,5.000156173894525,5.000156173894525,1,39,[34],300,151,line_distance_8
Class1,P1,Class1_example_0035,3.0,0.03235889418857474,3.0001745112631544,3.0001745112631544,1,32,[29],300,151,line_distance_8
Class1,P1,Class1_example_0036,,,,,0,36,[],300,151,line_distance_8
Class1,P1,Class1_example_0037,,,,,0,37,[],300,151,line_distance_8
Class1,P1,Class1_example_0038,3.0,0.02760516259175705,3.0001270048119157,3.0001270048119157,1,31,[28],300,151,line_distance_8
Class1,P1,Class1_example_0039,,,,,0,25,[],300,151,line_distance_8
Class1,P1,Class1_example_0040,,,,,0,37,[],300,151,line_distance_8
Class1,P1,Class1_example_0041,,,,,0,36,[],300,151,line_distance_8
Class1,P1,Class1_example_0042,,,,,0,36,[],300,151,line_distance_8
Class1,P1,Class1_example_0043,4.0,0.0345953451771388,4.000149601940898,4.000149601940898,1,35,[31],300,151,line_distance_8
Class1,P1,Class1_example_0044,3.0,0.030293360740694997,3.0001529440521804,3.0001529440521804,1,35,[32],300,151,line_distance_8
Class1,P1,Class1_example_0045,4.0,0.04157283117950361,4.000216031702823,4.000216031702823,1,41,[37],300,151,line_distance_8
Class1,P1,Class1_example_0046,4.0,0.037585191188827194,4.000176576927161,4.000176576927161,1,34,[30],300,151,line_distance_8
Class1,P1,Class1_example_0047,3.0,0.031155072349156376,3.0001617687273265,3.0001617687273265,1,37,[34],300,151,line_distance_8
Class1,P1,Class1_example_0048,,,,,0,23,[],300,151,line_distance_8
Class1,P1,Class1_example_0049,3.0,0.02625908956015277,3.0001149210962783,3.0001149210962783,1,36,[33],300,151,line_distance_8
Class1,P1,Class1_example_0050,1.0,0.0033433593800705763,1.0000055890103536,1.0000055890103536,1,42,[41],300,151,line_distance_8
Class1,P1,Class1_example_0051,2.0,0.02608407738491647,2.0001700875408126,2.0001700875408126,1,29,[27],300,151,line_distance_8
