Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,10.0,0.04024385528113422,10.000080978066523,0.0,2,39,"[39, 59]",250,250,concave
Class1,P1,Class1_it2_example_0002,0.0,0.0,0.0,0.0,1,40,[40],250,250,concave
Class1,P1,Class1_it2_example_0003,0.0,0.0,0.0,0.0,1,40,[40],250,250,concave
Class1,P1,Class1_it2_example_0004,0.0,0.0,0.0,0.0,1,42,[42],250,250,concave
Class1,P1,Class1_it2_example_0005,0.0,0.0,0.0,0.0,1,39,[39],250,250,concave
Class1,P1,Class1_it2_example_0006,0.0,0.0,0.0,0.0,1,41,[41],250,250,concave
Class1,P1,Class1_it2_example_0007,0.0,0.0,0.0,0.0,1,42,[42],250,250,concave
Class1,P1,Class1_it2_example_0008,16.5,0.0481887787080052,16.50007036828611,0.0,2,38,"[38, 71]",250,250,concave
Class1,P1,Class1_it2_example_0009,16.0,0.05224485647799609,16.000085297429774,0.0,2,38,"[38, 70]",250,250,concave
Class1,P1,Class1_it2_example_0010,0.0,0.0,0.0,0.0,1,41,[41],250,250,concave
Class1,P1,Class1_it2_example_0011,0.0,0.0,0.0,0.0,1,35,[35],250,250,concave
Class1,P1,Class1_it2_example_0012,0.0,0.0,0.0,0.0,1,36,[36],250,250,concave
Class1,P1,Class1_it2_example_0013,0.0,0.0,0.0,0.0,1,36,[36],250,250,concave
Class1,P1,Class1_it2_example_0014,9.5,0.04161026053476191,9.50009112660409,0.0,2,41,"[41, 60]",250,250,concave
Class1,P1,Class1_it2_example_0015,0.0,0.0,0.0,0.0,1,23,[23],250,250,concave
Class1,P1,Class1_it2_example_0016,0.0,0.0,0.0,0.0,1,29,[29],250,250,concave
Class1,P1,Class1_it2_example_0017,0.0,0.0,0.0,0.0,1,27,[27],250,250,concave
Class1,P1,Class1_it2_example_0018,0.0,0.0,0.0,0.0,1,28,[28],250,250,concave
Class1,P1,Class1_it2_example_0019,0.0,0.0,0.0,0.0,1,28,[28],250,250,concave
Class1,P1,Class1_it2_example_0020,0.0,0.0,0.0,0.0,1,37,[37],250,250,concave
Class1,P1,Class1_it2_example_0021,0.0,0.0,0.0,0.0,1,37,[37],250,250,concave
Class1,P1,Class1_it2_example_0022,0.0,0.0,0.0,0.0,1,41,[41],250,250,concave
Class1,P1,Class1_it2_example_0023,0.0,0.0,0.0,0.0,1,45,[45],250,250,concave
Class1,P1,Class1_it2_example_0024,0.0,0.0,0.0,0.0,1,46,[46],250,250,concave
Class1,P1,Class1_it2_example_0025,0.0,0.0,0.0,0.0,1,43,[43],250,250,concave
Class1,P1,Class1_it2_example_0026,0.0,0.0,0.0,0.0,1,41,[41],250,250,concave
