Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,4.0,0.06430878864376322,4.000516919136429,4.000516919136429,1,39,[35],250,247,curvature
Class1,P1,Class1_it2_example_0002,5.0,0.06674096248808703,5.000445415767863,5.000445415767863,1,40,[35],250,247,curvature
Class1,P1,Class1_it2_example_0003,6.0,0.08508627207553687,6.000603275812834,6.000603275812834,1,40,[34],250,247,curvature
Class1,P1,Class1_it2_example_0004,6.0,0.07008522069609724,6.000409314218491,6.000409314218491,1,42,[36],250,247,curvature
Class1,P1,Class1_it2_example_0005,6.0,0.08293024803544224,6.000573091467116,6.000573091467116,1,39,[33],250,247,curvature
Class1,P1,Class1_it2_example_0006,6.0,0.08625366518118449,6.000619942535703,6.000619942535703,1,41,[35],250,247,curvature
Class1,P1,Class1_it2_example_0007,6.0,0.07684598021264821,6.000492088543642,6.000492088543642,1,42,[36],250,247,curvature
Class1,P1,Class1_it2_example_0008,4.0,0.06665860806687196,4.000555382697434,4.000555382697434,1,38,[34],250,247,curvature
Class1,P1,Class1_it2_example_0009,5.0,0.07883779159988669,5.000621501112072,5.000621501112072,1,38,[33],250,247,curvature
Class1,P1,Class1_it2_example_0010,5.0,0.07250412008188611,5.0005256571113454,5.0005256571113454,1,41,[36],250,247,curvature
Class1,P1,Class1_it2_example_0011,4.0,0.07535002377709432,4.0007096403117295,4.0007096403117295,1,35,[31],250,247,curvature
Class1,P1,Class1_it2_example_0012,6.0,0.08925140650510788,6.000663781079818,6.000663781079818,1,36,[30],250,247,curvature
Class1,P1,Class1_it2_example_0013,5.0,0.06418937531390756,5.000412010615045,5.000412010615045,1,36,[31],250,247,curvature
Class1,P1,Class1_it2_example_0014,5.0,0.06894732798460212,5.000475350807783,5.000475350807783,1,41,[36],250,247,curvature
Class1,P1,Class1_it2_example_0015,1.0,0.02148155878722957,1.0002307020722414,1.0002307020722414,1,23,[24],250,247,curvature
Class1,P1,Class1_it2_example_0016,3.0,0.04569522361493594,3.0003479887275106,3.0003479887275106,1,29,[26],250,247,curvature
Class1,P1,Class1_it2_example_0017,0.0,0.0,0.0,0.0,1,27,[27],250,247,curvature
Class1,P1,Class1_it2_example_0018,0.0,0.0,0.0,0.0,1,28,[28],250,247,curvature
Class1,P1,Class1_it2_example_0019,1.0,0.01823341471001494,1.0001662148922985,1.0001662148922985,1,28,[27],250,247,curvature
Class1,P1,Class1_it2_example_0020,3.0,0.04093811522836033,3.000279308544198,3.000279308544198,1,37,[34],250,247,curvature
Class1,P1,Class1_it2_example_0021,1.0,0.014026820271726748,1.0000983710050404,1.0000983710050404,1,37,[36],250,247,curvature
Class1,P1,Class1_it2_example_0022,1.0,0.008232034860793602,1.0000338826249586,1.0000338826249586,1,41,[40],250,247,curvature
Class1,P1,Class1_it2_example_0023,10.0,0.09474317027302825,10.000448803344447,10.000448803344447,1,45,[35],250,247,curvature
Class1,P1,Class1_it2_example_0024,3.0,0.02765007719480539,3.0001274184222373,3.0001274184222373,1,46,[43],250,247,curvature
Class1,P1,Class1_it2_example_0025,2.0,0.02091327296736556,2.0001093382578383,2.0001093382578383,1,43,[41],250,247,curvature
Class1,P1,Class1_it2_example_0026,2.0,0.028015257489660383,2.000196204039047,2.000196204039047,1,41,[39],250,247,curvature
Class1,P1,Class1_it2_example_0027,3.0,0.03949339697148779,3.00025994347229,3.00025994347229,1,44,[41],250,247,curvature
Class1,P1,Class1_it2_example_0028,3.0,0.03992927038713534,3.0002657126717374,3.0002657126717374,1,45,[42],250,247,curvature
Class1,P1,Class1_it2_example_0029,3.0,0.05594287810472187,3.0005215555983997,3.0005215555983997,1,58,[55],250,247,curvature
Class1,P1,Class1_it2_example_0030,1.0,0.02244443432365084,1.0002518446032023,1.0002518446032023,1,28,[27],250,247,curvature
Class1,P1,Class1_it2_example_0031,0.0,0.0,0.0,0.0,1,27,[27],250,247,curvature
Class1,P1,Class1_it2_example_0032,4.0,0.05750159040164693,4.000413282762009,4.000413282762009,1,34,[30],250,247,curvature
Class1,P1,Class1_it2_example_0033,5.0,0.06818475213782138,5.000464894429727,5.000464894429727,1,34,[29],250,247,curvature
Class1,P1,Class1_it2_example_0034,3.0,0.05421318845363665,3.0004898049822315,3.0004898049822315,1,31,[28],250,247,curvature
Class1,P1,Class1_it2_example_0035,2.0,0.023134330780816614,2.0001337948399045,2.0001337948399045,1,39,[37],250,247,curvature
