Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,modified_scholkmann1,3.7642857142857142,0.018995192654176585,3.7643456235199073,3.7643456235199073,0.56,250.0,140.0
Class1,P2,modified_scholkmann1,31.282894736842106,0.08842289605984602,31.28313619120653,31.079188186913772,0.616,250.0,152.0
Class1,P3,modified_scholkmann1,3.7823834196891193,0.006989039210801549,3.7823947705530894,3.2072591706029567,0.804,250.0,193.0
Class2,P1,modified_scholkmann1,13.159090909090908,0.052080234111586445,13.159233674765767,13.159233674765767,0.176,250.0,44.0
Class2,P2,modified_scholkmann1,9.959798994974875,0.0228473624044725,9.959837971777683,9.613102969305176,0.812,250.0,199.0
Class2,P3,modified_scholkmann1,15.733516483516484,0.09541539400606915,15.733880248659439,15.077272230830369,0.752,250.0,182.0
Class3,P1,modified_scholkmann1,,,,,0.0,250.0,0.0
Class3,P2,modified_scholkmann1,4.915094339622642,0.007059793935934955,4.915104352307593,4.915104352307593,0.848,250.0,212.0
Class3,P3,modified_scholkmann1,17.91949152542373,0.11773291066387959,17.919970708920708,17.919970708920708,0.944,250.0,236.0
Class4,P1,modified_scholkmann1,,,,,0.0,50.0,0.0
Class4,P2,modified_scholkmann1,1.75,0.0010328659120277652,1.750000503567709,1.750000503567709,0.72,50.0,36.0
Class4,P3,modified_scholkmann1,,,,,0.0,50.0,0.0
