Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,line_perpendicular_8,55.51026666666667,0.29794107602973,55.511229673449385,2.2521478061348312,3.492,250.0,250.0
Class1,P2,line_perpendicular_8,44.30813333333333,0.2268647660391014,44.30889509122812,12.388508657213533,3.492,250.0,250.0
Class1,P3,line_perpendicular_8,40.96946666666667,0.21487218680762046,40.970167426332395,5.504028772540593,3.492,250.0,250.0
Class2,P1,line_perpendicular_8,55.33213333333333,0.2306756829736246,55.33281823105642,3.924350687612843,3.632,250.0,250.0
Class2,P2,line_perpendicular_8,43.028800000000004,0.24766548820233997,43.02968230319562,8.556074967250684,3.632,250.0,250.0
Class2,P3,line_perpendicular_8,40.751599999999996,0.216396295067321,40.75241346704165,6.648080697655072,3.632,250.0,250.0
Class3,P1,line_perpendicular_8,57.29213333333333,0.24173415859406014,57.2931454567051,6.636991434607548,3.556,250.0,250.0
Class3,P2,line_perpendicular_8,40.929066666666664,0.3136596083903773,40.93042808350729,6.084091789297621,3.556,250.0,250.0
Class3,P3,line_perpendicular_8,39.42053333333333,0.259432717234754,39.42157394763102,8.528160623874172,3.556,250.0,250.0
Class4,P1,line_perpendicular_8,,,,,2.52,50.0,50.0
Class4,P2,line_perpendicular_8,42.16,0.3363201223481829,42.16141496316966,7.160065942792426,2.52,50.0,50.0
Class4,P3,line_perpendicular_8,,,,,2.52,50.0,50.0
