Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,hilbert,3.2024291497975708,0.0435356108209678,3.2027684768745375,3.2027684768745375,0.988,250.0,247.0
Class1,P2,hilbert,1.7714285714285714,0.003049591388845512,1.77143182170808,1.77143182170808,0.28,250.0,70.0
Class1,P3,hilbert,4.139784946236559,0.009742027104531408,4.139802145154852,4.139802145154852,0.372,250.0,93.0
Class2,P1,hilbert,3.3373493975903616,0.045549315100210035,3.3376993901612826,3.3376993901612826,0.996,250.0,249.0
Class2,P2,hilbert,2.43859649122807,0.005526853378977768,2.43860801316601,2.43860801316601,0.684,250.0,171.0
Class2,P3,hilbert,3.130434782608696,0.010247638240329234,3.130468039135614,3.130468039135614,0.46,250.0,115.0
Class3,P1,hilbert,2.1454545454545455,0.02547657478595674,2.1456187873693326,2.1456187873693326,0.44,250.0,110.0
Class3,P2,hilbert,2.226993865030675,0.0054636590353989364,2.227008108258416,2.227008108258416,0.652,250.0,163.0
Class3,P3,hilbert,7.943396226415095,0.028963178844913277,7.943481907080205,7.943481907080205,0.424,250.0,106.0
Class4,P1,hilbert,,,,,0.16,50.0,8.0
Class4,P2,hilbert,2.2666666666666666,0.0028042725307833322,2.2666690494216652,2.2666690494216652,0.3,50.0,15.0
Class4,P3,hilbert,,,,,0.02,50.0,1.0
