Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,2.0,0.0018303641178525343,2.0000008375580256,2.0000008375580256,1,39,[41],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0002,1.0,0.00022811407552203455,1.0000000260180153,1.0000000260180153,1,40,[41],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0003,2.0,0.001478200932612861,2.000000546269425,2.000000546269425,1,40,[42],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0004,1.0,0.000872177238337879,1.0000003803464952,1.0000003803464952,1,42,[43],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0005,1.0,0.000316897943967942,1.0000000502121522,1.0000000502121522,1,39,[40],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0006,,,,,0,41,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0007,1.0,0.0007071352156009514,1.0000002500200753,1.0000002500200753,1,42,[43],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0008,2.0,0.0017178814878595627,2.0000007377790654,2.0000007377790654,1,38,[40],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0009,1.0,9.941902112220458e-05,1.0000000049420708,1.0000000049420708,1,38,[39],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0010,,,,,0,41,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0011,,,,,0,35,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0012,,,,,0,36,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0013,1.0,0.0022281690630642226,1.0000024823656057,1.0000024823656057,1,36,[37],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0014,,,,,0,41,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0015,4.0,0.03385686941768973,4.000143283384579,4.000143283384579,1,23,[27],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0016,,,,,0,29,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0017,,,,,0,27,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0018,2.0,0.00930521149127106,2.0000216466230802,2.0000216466230802,1,28,[30],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0019,,,,,0,28,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0020,1.0,0.000773589676907438,1.0000002992204493,1.0000002992204493,1,37,[38],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0021,2.0,0.005096081835461397,2.0000064925019805,2.0000064925019805,1,37,[39],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0022,1.0,0.0007853592678487287,1.0000003083945421,1.0000003083945421,1,41,[42],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0023,0.0,0.0,0.0,0.0,1,45,[45],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0024,0.0,0.0,0.0,0.0,1,46,[46],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0025,,,,,0,43,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0026,1.0,0.0028713665749056094,1.0000041223645069,1.0000041223645069,1,41,[42],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0027,,,,,0,44,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0028,1.0,0.0012912440472789832,1.0000008336552473,1.0000008336552473,1,45,[46],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0029,2.0,0.00613995903925979,2.0000094247520446,2.0000094247520446,1,58,[60],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0030,3.0,0.012982854002957178,3.0000280922848144,3.0000280922848144,1,28,[31],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0031,2.0,0.0045666854998061,2.000005213647318,2.000005213647318,1,27,[29],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0032,,,,,0,34,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0033,,,,,0,34,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0034,2.0,0.0026547433291093103,2.00000176191476,2.00000176191476,1,31,[33],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0035,1.0,0.0007225783431685784,1.000000261059697,1.000000261059697,1,39,[40],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0036,1.0,0.0016054163784929854,1.0000012886800438,1.0000012886800438,1,40,[41],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0037,1.0,0.0017256593399431752,1.0000014889489703,1.0000014889489703,1,39,[40],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0038,1.0,0.0015356905737820004,1.000001179172074,1.000001179172074,1,38,[39],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0039,2.0,0.010213358872379175,2.0000260780048484,2.0000260780048484,1,29,[31],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0040,,,,,0,29,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0041,,,,,0,33,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0042,,,,,0,43,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0043,2.0,0.004264619401020742,2.0000045467394907,2.0000045467394907,1,35,[37],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0044,,,,,0,28,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0045,2.0,0.010170129609539669,2.0000258577169134,2.0000258577169134,1,30,[32],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0046,2.0,0.006663854293113447,2.000011101707698,2.000011101707698,1,29,[31],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0047,,,,,0,29,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0048,3.0,0.009855324403917454,3.00001618785951,3.00001618785951,1,30,[33],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0049,4.0,0.015588997727770892,4.0000303769909245,4.0000303769909245,1,30,[34],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0050,2.0,0.00594892649284029,2.000008847412035,2.000008847412035,1,61,[63],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0051,3.0,0.015953780610140522,3.0000424202193803,3.0000424202193803,1,30,[33],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0052,2.0,0.0002738930845009868,2.0000000187543554,2.0000000187543554,1,37,[39],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0053,2.0,0.0012084870715415308,2.000000365110217,2.000000365110217,1,36,[38],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0054,2.0,0.0029005513041219233,2.0000021032983613,2.0000021032983613,1,35,[37],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0055,1.0,0.0049037040880723914,1.0000120230846143,1.0000120230846143,1,67,[68],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0056,3.0,0.011085502206435782,3.0000204813232805,3.0000204813232805,1,30,[33],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0057,3.0,0.005135623706066239,3.000004395768588,3.000004395768588,1,33,[36],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0058,1.0,0.00013801990174666656,1.0000000095247465,1.0000000095247465,1,45,[46],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0059,2.0,0.0027808616514833906,2.0000019332969465,2.0000019332969465,1,33,[35],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0060,5.0,0.011210339655670643,5.000012567155726,5.000012567155726,1,28,[33],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0061,2.0,0.0027398970750711626,2.000001876758115,2.000001876758115,1,41,[43],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0062,3.0,0.006779785792613735,3.0000076609061175,3.0000076609061175,1,31,[34],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0063,0.0,0.0,0.0,0.0,1,46,[46],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0064,1.0,0.0015790662648551557,1.000001246724357,1.000001246724357,1,40,[41],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0065,2.0,0.009059613263912913,2.0000205190428653,2.0000205190428653,1,42,[44],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0066,1.0,0.004295465128787868,1.0000092254677817,1.0000092254677817,1,42,[43],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0067,0.0,0.0,0.0,0.0,1,43,[43],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0068,,,,,0,22,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0069,,,,,0,24,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0070,2.0,0.0027767485013102666,2.000001927582131,2.000001927582131,1,33,[35],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0071,,,,,0,24,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0072,,,,,0,25,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0073,,,,,0,25,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0074,1.0,0.003494957080700467,1.0000061073438482,1.0000061073438482,1,31,[32],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0075,0.0,0.0,0.0,0.0,1,38,[38],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0076,,,,,0,27,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0077,1.0,0.003120798914318379,1.0000048696810748,1.0000048696810748,1,32,[33],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0078,,,,,0,31,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0079,,,,,0,36,[],250,173,modified_scholkmann1
Class1,P1,Class1_it2_example_0080,1.0,0.0012556853859806427,1.0000007883725834,1.0000007883725834,1,37,[38],250,173,modified_scholkmann1
