Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,wavelet,2.5931174089068825,0.029281252190126974,2.593295151108448,2.494088279040749,1.184,250.0,247.0
Class1,P2,wavelet,2.042483660130719,0.015127983457210203,2.04255462274797,1.9739244600267865,0.696,250.0,153.0
Class1,P3,wavelet,6.144444444444444,0.018409175061998437,6.144482792894526,5.914321917682049,0.528,250.0,105.0
Class2,P1,wavelet,3.2046666666666663,0.04142912015418243,3.2049553807162114,3.0682591151578125,1.268,250.0,250.0
Class2,P2,wavelet,2.7302867383512543,0.009188286455151467,2.7303098130186716,2.6559358645085793,0.844,250.0,186.0
Class2,P3,wavelet,6.061342592592593,0.03163709954206935,6.061452546908782,5.895941120254352,0.712,250.0,144.0
Class3,P1,wavelet,2.1659891598915992,0.03550505335138382,2.1663133519950972,2.016548037423777,1.244,250.0,246.0
Class3,P2,wavelet,1.845679012345679,0.006822120867755581,1.8456991706721624,1.7839704197518125,0.728,250.0,162.0
Class3,P3,wavelet,8.377300613496933,0.04217401860674629,8.377450170497905,8.239410594619082,0.832,250.0,163.0
Class4,P1,wavelet,,,,,0.52,50.0,20.0
Class4,P2,wavelet,9.947368421052632,0.09223768545144494,9.947846751586383,9.421521671516567,0.44,50.0,19.0
Class4,P3,wavelet,,,,,0.34,50.0,16.0
