Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,curvature,62.968133333333334,0.40028257530105316,62.96974228129243,3.484373608111678,4.996,250.0,250.0
Class1,P2,curvature,48.826228571428565,0.26168773188621886,48.82709454606278,3.33212906080775,4.996,250.0,250.0
Class1,P3,curvature,44.472228571428566,0.24268303930665022,44.473052672052525,3.0640116274296902,4.996,250.0,250.0
Class2,P1,curvature,62.2394619047619,0.30662499860275383,62.24061304277156,4.056518317416305,5.1,250.0,250.0
Class2,P2,curvature,48.08275714285714,0.3205647521604977,48.084012721162324,1.932025010740598,5.1,250.0,250.0
Class2,P3,curvature,44.425404761904765,0.2712413925123722,44.42651241245765,3.45203069427343,5.1,250.0,250.0
Class3,P1,curvature,64.46909523809524,0.26464331271359065,64.47003495692272,2.6644452875346563,5.056,250.0,250.0
Class3,P2,curvature,47.23010476190476,0.38067276911860337,47.2318070584869,2.2000181897284317,5.056,250.0,250.0
Class3,P3,curvature,43.391171428571425,0.309161017320146,43.392464481604776,3.87605995217087,5.056,250.0,250.0
Class4,P1,curvature,,,,,4.82,50.0,50.0
Class4,P2,curvature,46.81192063492063,0.42853110277628836,46.81405594804037,2.36001649195521,4.82,50.0,50.0
Class4,P3,curvature,,,,,4.82,50.0,50.0
