Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,wavelet,61.82519365079365,0.4168142045848399,61.827214152762934,2.500160901698529,5.916,250.0,250.0
Class1,P2,wavelet,49.90305079365079,0.28730449092260546,49.90408898371761,4.088174467782207,5.916,250.0,250.0
Class1,P3,wavelet,46.75754285714286,0.26367362792434607,46.758444835006635,3.7240243567536657,5.916,250.0,250.0
Class2,P1,wavelet,61.166642857142854,0.3230152255710817,61.16809813589458,3.0682591151578125,6.148,250.0,250.0
Class2,P2,wavelet,48.94096666666667,0.33844890892201857,48.9424030076929,2.972026122338946,6.148,250.0,250.0
Class2,P3,wavelet,46.17970952380952,0.2900857048640831,46.180915121859364,4.388043506878178,6.148,250.0,250.0
Class3,P1,wavelet,63.276376479076475,0.2697874253890271,63.27743300696157,1.8882556279949947,6.308,250.0,250.0
Class3,P2,wavelet,47.943484992784995,0.4000696713954593,47.94536075218182,2.064021849145039,6.308,250.0,250.0
Class3,P3,wavelet,44.66531904761905,0.3244750189259358,44.66670328261136,4.768079747800601,6.308,250.0,250.0
Class4,P1,wavelet,,,,,5.72,50.0,50.0
Class4,P2,wavelet,51.04035714285715,0.4718521098155162,51.04269010877303,2.260013753587859,5.72,50.0,50.0
Class4,P3,wavelet,,,,,5.72,50.0,50.0
