Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,line_distance_10,3.1166666666666667,0.034864612036821695,3.1168820251785756,3.1168820251785756,1.0,300.0,300.0
Class1,P2,line_distance_10,1.7989690721649485,0.01306709789030174,1.7990293011770193,1.7990293011770193,0.6466666666666666,300.0,194.0
Class1,P3,line_distance_10,2.9402173913043477,0.0059699326261988235,2.9402266147469884,2.9402266147469884,0.6133333333333333,300.0,184.0
Class2,P1,line_distance_10,4.431438127090301,0.060440475439435024,4.431869291330208,4.431869291330208,0.9966666666666667,300.0,299.0
Class2,P2,line_distance_10,2.9457013574660635,0.012575688178397182,2.945737846135251,2.927638032135825,0.74,300.0,221.0
Class2,P3,line_distance_10,3.822463768115942,0.018861891479647622,3.8225260807333306,3.7899158142685936,0.4633333333333333,300.0,138.0
Class3,P1,line_distance_10,3.600732600732601,0.05081615274854124,3.6011187147649486,3.6011187147649486,0.91,300.0,273.0
Class3,P2,line_distance_10,2.9106382978723406,0.016792212610773842,2.910703840356933,2.910703840356933,0.7833333333333333,300.0,235.0
Class3,P3,line_distance_10,3.096330275229358,0.01299235526551925,3.0963670420441907,3.0963670420441907,0.7266666666666667,300.0,218.0
Class4,P1,line_distance_10,,,,,0.56,100.0,56.0
Class4,P2,line_distance_10,20.4,0.15710157102201322,20.400682248718308,20.400682248718308,0.3,100.0,30.0
Class4,P3,line_distance_10,,,,,0.11,100.0,11.0
