Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,modified_scholkmann_1-2_99,3.6041666666666665,0.019336065189772503,3.6042300830357745,3.0917412605572854,0.81,300.0,120.0
Class1,P2,modified_scholkmann_1-2_99,1.8235294117647058,0.0026226571703164346,1.8235319642740828,1.3529438585495412,0.11,300.0,17.0
Class1,P3,modified_scholkmann_1-2_99,1.7901234567901236,0.0028830960383935157,1.7901280472219934,1.2963010086477031,0.72,300.0,108.0
Class2,P1,modified_scholkmann_1-2_99,6.166666666666667,0.040390155014883994,6.166820095594612,5.6668314580038635,0.1,300.0,15.0
Class2,P2,modified_scholkmann_1-2_99,3.504201680672269,0.007374789404554036,3.5042131142228774,3.000011917491802,0.7966666666666666,300.0,119.0
Class2,P3,modified_scholkmann_1-2_99,2.2045454545454546,0.004267113000817906,2.204551764896512,1.7045518079764805,0.3,300.0,44.0
Class3,P1,modified_scholkmann_1-2_99,,,,,0.0,300.0,0.0
Class3,P2,modified_scholkmann_1-2_99,1.9074074074074072,0.0025408597698086312,1.9074097863080672,1.4188060383954457,0.7733333333333333,300.0,117.0
Class3,P3,modified_scholkmann_1-2_99,4.785714285714286,0.016820469651300882,4.785755860264578,4.285756801156691,0.7466666666666667,300.0,112.0
Class4,P1,modified_scholkmann_1-2_99,,,,,0.85,100.0,41.0
Class4,P2,modified_scholkmann_1-2_99,2.5789473684210527,0.0026860408189468585,2.5789496162458065,2.157897029867365,0.35,100.0,19.0
Class4,P3,modified_scholkmann_1-2_99,,,,,0.0,100.0,0.0
