Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,modified_scholkmann_1-2_95,3.9621993127147763,0.016798353469458745,3.962250257169892,2.113475880742601,1.53,300.0,97.0
Class1,P2,modified_scholkmann_1-2_95,21.851336146272853,0.1186978825577109,21.851869875389585,19.9562101243312,2.3933333333333335,300.0,158.0
Class1,P3,modified_scholkmann_1-2_95,6.688472131622817,0.024921550704625515,6.688543327409524,4.146182907035311,5.483333333333333,300.0,219.0
Class2,P1,modified_scholkmann_1-2_95,11.509551495016611,0.056743334194049734,11.509731542211291,9.395584062551261,1.4566666666666668,300.0,86.0
Class2,P2,modified_scholkmann_1-2_95,9.045735608965181,0.024747185775409103,9.045784544391424,6.1012137289430965,6.33,300.0,257.0
Class2,P3,modified_scholkmann_1-2_95,16.049234302637444,0.10033795764619378,16.0496185381735,13.26739224834828,4.483333333333333,300.0,191.0
Class3,P1,modified_scholkmann_1-2_95,,,,,0.0,300.0,0.0
Class3,P2,modified_scholkmann_1-2_95,7.657178774646024,0.021385255858922158,7.6572228575684615,4.8865143680325955,5.583333333333333,300.0,229.0
Class3,P3,modified_scholkmann_1-2_95,12.794024376071356,0.06463735822813187,12.79423271549621,8.453204510546762,9.283333333333333,300.0,298.0
Class4,P1,modified_scholkmann_1-2_95,,,,,0.0,100.0,0.0
Class4,P2,modified_scholkmann_1-2_95,2.609726443768997,0.00232472533265555,2.609728141550352,1.0638311861499865,2.27,100.0,47.0
Class4,P3,modified_scholkmann_1-2_95,,,,,0.0,100.0,0.0
