Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,modified_scholkmann_1_99,0.5318627450980392,0.0010288596124599075,0.5318643929965752,0.0,0.564,250.0,68.0
Class1,P2,modified_scholkmann_1_99,1.0324074074074074,0.0011544407372988614,1.0324082769952823,0.5555560741182307,0.296,250.0,36.0
Class1,P3,modified_scholkmann_1_99,2.134408602150538,0.007511822658888684,2.1344266367305713,1.5967918296274548,0.524,250.0,62.0
Class2,P1,modified_scholkmann_1_99,1.25,0.001301273031414167,1.2500008290962887,0.5000006959394461,0.06,250.0,6.0
Class2,P2,modified_scholkmann_1_99,2.107669616519174,0.0046950656162261725,2.1076794554537908,1.5575314368669526,0.96,250.0,113.0
Class2,P3,modified_scholkmann_1_99,1.694915254237288,0.005770195913365399,1.6949349460652008,0.9830697686850818,0.492,250.0,59.0
Class3,P1,modified_scholkmann_1_99,,,,,0.0,250.0,0.0
Class3,P2,modified_scholkmann_1_99,0.5149812734082397,0.0006715624530512468,0.5149819215648173,0.0,0.728,250.0,89.0
Class3,P3,modified_scholkmann_1_99,4.407407407407407,0.025956276021013705,4.407504559451567,3.866764751208707,0.76,250.0,90.0
Class4,P1,modified_scholkmann_1_99,,,,,0.32,50.0,8.0
Class4,P2,modified_scholkmann_1_99,1.7156862745098038,0.0022377038291634915,1.715688619039797,1.0588251180621309,0.8,50.0,17.0
Class4,P3,modified_scholkmann_1_99,,,,,0.04,50.0,1.0
