Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave_d2x=0-002,2.851674641148325,0.018970809076344495,2.851747058817431,2.851747058817431,0.836,250.0,209.0
Class1,P2,concave_d2x=0-002,2.5454545454545454,0.003759642482597853,2.5454581019180336,2.5454581019180336,0.088,250.0,22.0
Class1,P3,concave_d2x=0-002,2.978021978021978,0.006602030707471017,2.9780331786534813,2.9780331786534813,0.364,250.0,91.0
Class2,P1,concave_d2x=0-002,3.330357142857143,0.020803965991169262,3.3304368431744193,3.3304368431744193,0.448,250.0,112.0
Class2,P2,concave_d2x=0-002,3.373134328358209,0.00794900578988034,3.37314959793132,3.37314959793132,0.536,250.0,134.0
Class2,P3,concave_d2x=0-002,2.402439024390244,0.008614250306961616,2.4024735596463915,2.4024735596463915,0.328,250.0,82.0
Class3,P1,concave_d2x=0-002,4.545454545454546,0.02105509302410614,4.545506111012805,4.545506111012805,0.044,250.0,11.0
Class3,P2,concave_d2x=0-002,1.460431654676259,0.0019671331530805654,1.460433351384972,1.460433351384972,0.556,250.0,139.0
Class3,P3,concave_d2x=0-002,10.641975308641975,0.04210729038001255,10.642105808033909,10.642105808033909,0.324,250.0,81.0
Class4,P1,concave_d2x=0-002,,,,,0.16,50.0,8.0
Class4,P2,concave_d2x=0-002,1.5,0.0017039709371131824,1.500001268164339,1.500001268164339,0.36,50.0,18.0
Class4,P3,concave_d2x=0-002,,,,,0.0,50.0,0.0
