Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,59.75,0.368386053885042,59.75119369614043,3.0003058050399725,4,39,"[36, 73, 117, 163]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0002,56.25,0.3137585966305879,56.25092187033114,4.000271627493976,4,40,"[36, 71, 111, 159]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0003,56.25,0.3145070922817572,56.250928218608934,4.000244369069039,4,40,"[36, 70, 112, 159]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0004,56.5,0.33538764548628275,56.5010388864177,5.000258469098713,4,42,"[37, 73, 113, 161]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0005,56.0,0.3565807870427524,56.00116468973369,4.000225334502088,4,39,"[35, 67, 109, 161]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0006,33.0,0.16881842554372797,33.00046320361142,4.000244116892666,3,41,"[37, 69, 108]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0007,33.333333333333336,0.19929072966583408,33.33395287200755,4.000186868015278,3,42,"[38, 69, 111]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0008,36.0,0.13808689595181256,36.000327817540565,3.000328032453381,3,38,"[35, 72, 109]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0009,37.0,0.1446733731804544,37.0003177490065,3.000219911964492,3,38,"[35, 72, 112]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0010,58.5,0.33377672295177285,58.50103262957663,4.000329720852267,4,41,"[37, 74, 116, 163]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0011,34.333333333333336,0.14262603283747233,34.33367031978637,2.0002256229044844,3,35,"[33, 67, 104]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0012,56.0,0.31087142970917314,56.000899832874126,4.000269556600683,4,36,"[32, 65, 109, 154]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0013,59.666666666666664,0.38476906118411874,59.66792751057422,3.0001288574906493,3,36,"[33, 89, 159]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0014,52.666666666666664,0.25489534752709136,52.66730311470689,2.0000776653734085,3,41,"[39, 91, 147]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0015,54.0,0.20529153570135503,54.000517546968574,2.00036598342611,3,23,"[25, 73, 133]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0016,62.666666666666664,0.2976409593537946,62.66750056260907,1.000056746788742,3,29,"[28, 83, 162]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0017,53.0,0.3324748633495068,53.001091690547305,2.000329172930248,3,27,"[29, 89, 122]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0018,33.0,0.16487186791508934,33.00042987622117,1.000090067862657,2,28,"[29, 93]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0019,50.0,0.15450460291922458,50.00035009129002,0.0,3,28,"[28, 84, 122]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0020,59.0,0.3762698500372351,59.00121183044356,2.000136607514256,4,37,"[35, 70, 108, 167]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0021,49.333333333333336,0.3723647515256887,49.33476491844059,0.0,3,37,"[37, 89, 133]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0022,46.333333333333336,0.27106665174599376,46.334241451124406,1.0000338826249586,3,41,"[40, 85, 135]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0023,60.75,0.32156999259953967,60.75088929122045,7.000117499860739,4,45,"[38, 82, 125, 164]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0024,46.333333333333336,0.3268915995526292,46.33468807620619,2.0000521036813614,3,46,"[44, 90, 139]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0025,46.333333333333336,0.4098827800816971,46.33563309728083,0.0,3,43,"[43, 89, 136]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0026,46.666666666666664,0.2699417675892344,46.667796079311444,0.0,3,41,"[41, 88, 134]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0027,45.666666666666664,0.24888017408971827,45.667506985626,1.000041870725467,3,44,"[43, 90, 134]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0028,44.333333333333336,0.2308597696096093,44.33395594398593,2.0001266831975006,3,45,"[43, 89, 132]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0029,35.333333333333336,0.49540938002155827,35.33740203474031,3.000105826782204,3,58,"[13, 61, 116]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0030,33.333333333333336,0.1542448692924694,33.33375208214957,1.0001556341681632,3,28,"[29, 55, 100]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0031,76.75,0.3032950005991453,76.7506163787416,0.0,4,27,"[27, 89, 128, 171]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0032,34.5,0.17014650678060061,34.50043719302428,2.0001162864689315,2,34,"[32, 101]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0033,68.33333333333333,0.4181976652129508,68.33462107560122,1.0000207569322381,3,34,"[33, 102, 170]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0034,31.5,0.08660381527864475,31.500151075919586,1.0000976830074366,2,31,"[30, 93]",250,250,line_perpendicular_10
Class1,P1,Class1_it2_example_0035,36.333333333333336,0.19271868308811665,36.33387380421007,2.0001337948399045,3,39,"[37, 76, 109]",250,250,line_perpendicular_10
