Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,14.0,0.045969322101035215,14.000121405282556,2.000156744906306,2,39,"[37, 65]",250,196,hilbert
Class1,P1,Class1_it2_example_0002,3.0,0.02999934765520873,3.0001499897271366,3.0001499897271366,1,40,[37],250,196,hilbert
Class1,P1,Class1_it2_example_0003,3.0,0.028679031316500403,3.0001370780078123,3.0001370780078123,1,40,[37],250,196,hilbert
Class1,P1,Class1_it2_example_0004,4.0,0.034799691828658275,4.000151374454643,4.000151374454643,1,42,[38],250,196,hilbert
Class1,P1,Class1_it2_example_0005,4.0,0.042458530265915284,4.000225334502088,4.000225334502088,1,39,[35],250,196,hilbert
Class1,P1,Class1_it2_example_0006,4.0,0.04419270001232878,4.000244116892666,4.000244116892666,1,41,[37],250,196,hilbert
Class1,P1,Class1_it2_example_0007,4.0,0.03866495883718102,4.000186868015278,4.000186868015278,1,42,[38],250,196,hilbert
Class1,P1,Class1_it2_example_0008,3.0,0.044365553367178956,3.000328032453381,3.000328032453381,1,38,[35],250,196,hilbert
Class1,P1,Class1_it2_example_0009,3.0,0.036325199906168004,3.000219911964492,3.000219911964492,1,38,[35],250,196,hilbert
Class1,P1,Class1_it2_example_0010,3.0,0.03366506513878509,3.000188883488971,3.000188883488971,1,41,[38],250,196,hilbert
Class1,P1,Class1_it2_example_0011,2.0,0.030042345508167978,2.0002256229044844,2.0002256229044844,1,35,[33],250,196,hilbert
Class1,P1,Class1_it2_example_0012,3.0,0.03013890699660171,3.0001513884660804,3.0001513884660804,1,36,[33],250,196,hilbert
Class1,P1,Class1_it2_example_0013,4.0,0.04413220994430256,4.000243449085889,4.000243449085889,1,36,[32],250,196,hilbert
Class1,P1,Class1_it2_example_0014,3.0,0.031236097714983813,3.0001626112263415,3.0001626112263415,1,41,[38],250,196,hilbert
Class1,P1,Class1_it2_example_0015,,,,,0,23,[],250,196,hilbert
Class1,P1,Class1_it2_example_0016,2.0,0.025849232382237686,2.0001670387282036,2.0001670387282036,1,29,[27],250,196,hilbert
Class1,P1,Class1_it2_example_0017,1.0,0.02068138878857384,1.0002138370579685,1.0002138370579685,1,27,[28],250,196,hilbert
Class1,P1,Class1_it2_example_0018,0.0,0.0,0.0,0.0,1,28,[28],250,196,hilbert
Class1,P1,Class1_it2_example_0019,1.0,0.01823341471001494,1.0001662148922985,1.0001662148922985,1,28,[27],250,196,hilbert
Class1,P1,Class1_it2_example_0020,2.0,0.023376242611646614,2.000136607514256,2.000136607514256,1,37,[35],250,196,hilbert
Class1,P1,Class1_it2_example_0021,0.0,0.0,0.0,0.0,1,37,[37],250,196,hilbert
Class1,P1,Class1_it2_example_0022,2.0,0.020936763944696013,2.0001095840189547,2.0001095840189547,1,41,[39],250,196,hilbert
Class1,P1,Class1_it2_example_0023,6.0,0.027839644335712066,6.0000645868021065,6.0000645868021065,1,45,[39],250,196,hilbert
Class1,P1,Class1_it2_example_0024,3.0,0.02765007719480539,3.0001274184222373,3.0001274184222373,1,46,[43],250,196,hilbert
Class1,P1,Class1_it2_example_0025,2.0,0.02091327296736556,2.0001093382578383,2.0001093382578383,1,43,[41],250,196,hilbert
Class1,P1,Class1_it2_example_0026,1.0,0.011797908764384468,1.0000695929040202,1.0000695929040202,1,41,[40],250,196,hilbert
Class1,P1,Class1_it2_example_0027,2.0,0.022290694176718584,2.0001242149043845,2.0001242149043845,1,44,[42],250,196,hilbert
Class1,P1,Class1_it2_example_0028,3.0,0.03992927038713534,3.0002657126717374,3.0002657126717374,1,45,[42],250,196,hilbert
Class1,P1,Class1_it2_example_0029,1.0,0.01501924322425996,1.0001127824735716,1.0001127824735716,1,58,[57],250,196,hilbert
Class1,P1,Class1_it2_example_0030,0.0,0.0,0.0,0.0,1,28,[28],250,196,hilbert
Class1,P1,Class1_it2_example_0031,,,,,0,27,[],250,196,hilbert
Class1,P1,Class1_it2_example_0032,3.0,0.03766958029491152,3.000236490225328,3.000236490225328,1,34,[31],250,196,hilbert
Class1,P1,Class1_it2_example_0033,3.0,0.02976456955440221,3.0001476512999754,3.0001476512999754,1,34,[31],250,196,hilbert
Class1,P1,Class1_it2_example_0034,2.0,0.032018466305865356,2.0002562791263974,2.0002562791263974,1,31,[29],250,196,hilbert
Class1,P1,Class1_it2_example_0035,3.0,0.041685342371267864,3.0002895973170007,3.0002895973170007,1,39,[36],250,196,hilbert
Class1,P1,Class1_it2_example_0036,3.0,0.044298098026178234,3.0003270357560585,3.0003270357560585,1,40,[37],250,196,hilbert
Class1,P1,Class1_it2_example_0037,2.0,0.024887801208594018,2.0001548446680317,2.0001548446680317,1,39,[37],250,196,hilbert
Class1,P1,Class1_it2_example_0038,3.0,0.04248763840541869,3.0003008514842757,3.0003008514842757,1,38,[35],250,196,hilbert
Class1,P1,Class1_it2_example_0039,0.0,0.0,0.0,0.0,1,29,[29],250,196,hilbert
Class1,P1,Class1_it2_example_0040,,,,,0,29,[],250,196,hilbert
Class1,P1,Class1_it2_example_0041,2.0,0.03456152836405657,2.0002986025198486,2.0002986025198486,1,33,[31],250,196,hilbert
Class1,P1,Class1_it2_example_0042,1.0,0.01124615653944494,1.0000632360190578,1.0000632360190578,1,43,[42],250,196,hilbert
Class1,P1,Class1_it2_example_0043,2.0,0.033604012952408335,2.0002822875000685,2.0002822875000685,1,35,[33],250,196,hilbert
Class1,P1,Class1_it2_example_0044,1.0,0.015379932721283351,1.0001182641720485,1.0001182641720485,1,28,[27],250,196,hilbert
Class1,P1,Class1_it2_example_0045,1.0,0.018671714270174777,1.0001743012664277,1.0001743012664277,1,30,[29],250,196,hilbert
Class1,P1,Class1_it2_example_0046,1.0,0.01846185513662557,1.0001704055285208,1.0001704055285208,1,29,[28],250,196,hilbert
Class1,P1,Class1_it2_example_0047,1.0,0.015976042415147385,1.0001276088236193,1.0001276088236193,1,29,[28],250,196,hilbert
Class1,P1,Class1_it2_example_0048,0.0,0.0,0.0,0.0,1,30,[30],250,196,hilbert
Class1,P1,Class1_it2_example_0049,0.0,0.0,0.0,0.0,1,30,[30],250,196,hilbert
Class1,P1,Class1_it2_example_0050,0.0,0.0,0.0,0.0,1,61,[61],250,196,hilbert
Class1,P1,Class1_it2_example_0051,0.0,0.0,0.0,0.0,1,30,[30],250,196,hilbert
Class1,P1,Class1_it2_example_0052,2.0,0.025220411113185293,2.000159010963058,2.000159010963058,1,37,[35],250,196,hilbert
Class1,P1,Class1_it2_example_0053,3.0,0.03495935709859588,3.000203685860136,3.000203685860136,1,36,[33],250,196,hilbert
Class1,P1,Class1_it2_example_0054,2.0,0.03098481343024162,2.0002400002657947,2.0002400002657947,1,35,[33],250,196,hilbert
Class1,P1,Class1_it2_example_0055,1.0,0.01603088128290131,1.0001284863229856,1.0001284863229856,1,67,[66],250,196,hilbert
Class1,P1,Class1_it2_example_0056,0.0,0.0,0.0,0.0,1,30,[30],250,196,hilbert
Class1,P1,Class1_it2_example_0057,1.0,0.016546428575778815,1.0001368827808588,1.0001368827808588,1,33,[32],250,196,hilbert
Class1,P1,Class1_it2_example_0058,3.0,0.03067668892577613,3.0001568391074906,3.0001568391074906,1,45,[42],250,196,hilbert
Class1,P1,Class1_it2_example_0059,2.0,0.03182624115953214,2.0002532113775855,2.0002532113775855,1,33,[31],250,196,hilbert
Class1,P1,Class1_it2_example_0060,0.0,0.0,0.0,0.0,1,28,[28],250,196,hilbert
Class1,P1,Class1_it2_example_0061,2.0,0.02703404429938172,2.000182701542832,2.000182701542832,1,41,[39],250,196,hilbert
Class1,P1,Class1_it2_example_0062,1.0,0.017950056570257056,1.000161089290558,1.000161089290558,1,31,[30],250,196,hilbert
Class1,P1,Class1_it2_example_0063,3.0,0.03650403672473146,3.000222082562756,3.000222082562756,1,46,[43],250,196,hilbert
Class1,P1,Class1_it2_example_0064,2.0,0.03136466346841349,2.0002459204094096,2.0002459204094096,1,40,[38],250,196,hilbert
Class1,P1,Class1_it2_example_0065,0.0,0.0,0.0,0.0,1,42,[42],250,196,hilbert
Class1,P1,Class1_it2_example_0066,,,,,0,42,[],250,196,hilbert
Class1,P1,Class1_it2_example_0067,3.0,0.03540087213721166,3.000208863020719,3.000208863020719,1,43,[40],250,196,hilbert
Class1,P1,Class1_it2_example_0068,1.0,0.01754529146183459,1.0001539067825915,1.0001539067825915,1,22,[23],250,196,hilbert
Class1,P1,Class1_it2_example_0069,1.0,0.01805032263380657,1.0001628938063962,1.0001628938063962,1,24,[25],250,196,hilbert
Class1,P1,Class1_it2_example_0070,2.0,0.03362850667805073,2.000282699135649,2.000282699135649,1,33,[31],250,196,hilbert
Class1,P1,Class1_it2_example_0071,,,,,0,24,[],250,196,hilbert
Class1,P1,Class1_it2_example_0072,,,,,0,25,[],250,196,hilbert
Class1,P1,Class1_it2_example_0073,,,,,0,25,[],250,196,hilbert
Class1,P1,Class1_it2_example_0074,1.0,0.013841283527590953,1.000095785977369,1.000095785977369,1,31,[30],250,196,hilbert
Class1,P1,Class1_it2_example_0075,,,,,0,38,[],250,196,hilbert
Class1,P1,Class1_it2_example_0076,,,,,0,27,[],250,196,hilbert
Class1,P1,Class1_it2_example_0077,1.0,0.012224553032819663,1.0000747170571067,1.0000747170571067,1,32,[31],250,196,hilbert
Class1,P1,Class1_it2_example_0078,,,,,0,31,[],250,196,hilbert
Class1,P1,Class1_it2_example_0079,3.0,0.03326456629721186,3.000184416226933,3.000184416226933,1,36,[33],250,196,hilbert
Class1,P1,Class1_it2_example_0080,2.0,0.024006946309068744,2.0001440781781414,2.0001440781781414,1,37,[35],250,196,hilbert
Class1,P1,Class1_it2_example_0081,,,,,0,28,[],250,196,hilbert
Class1,P1,Class1_it2_example_0082,3.0,0.016937659306097808,3.000047813669437,3.000047813669437,1,37,[34],250,196,hilbert
Class1,P1,Class1_it2_example_0083,,,,,0,26,[],250,196,hilbert
Class1,P1,Class1_it2_example_0084,,,,,0,33,[],250,196,hilbert
Class1,P1,Class1_it2_example_0085,,,,,0,24,[],250,196,hilbert
Class1,P1,Class1_it2_example_0086,,,,,0,32,[],250,196,hilbert
Class1,P1,Class1_it2_example_0087,,,,,0,29,[],250,196,hilbert
Class1,P1,Class1_it2_example_0088,,,,,0,31,[],250,196,hilbert
Class1,P1,Class1_it2_example_0089,,,,,0,29,[],250,196,hilbert
Class1,P1,Class1_it2_example_0090,,,,,0,33,[],250,196,hilbert
