Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,wavelet,4.283950617283951,0.03280676265536958,4.284125399975223,2.69563968274905,1.284,250.0,243.0
Class1,P2,wavelet,18.309571619812584,0.07268368843285192,18.309806574259976,4.791255529747983,2.144,250.0,249.0
Class1,P3,wavelet,20.258866666666666,0.11001948944604861,20.259268747802523,3.7560255565942704,2.688,250.0,250.0
Class2,P1,wavelet,7.682226832641771,0.044959255615276354,7.682471108755105,3.431793247589987,1.632,250.0,241.0
Class2,P2,wavelet,12.620816599732263,0.03511896376059503,12.620892274436544,3.309266497606839,1.88,250.0,249.0
Class2,P3,wavelet,19.898333333333333,0.14301500082134155,19.8989407480475,4.468053452343799,2.616,250.0,250.0
Class3,P1,wavelet,2.0930388219544844,0.033718333635782416,2.093341245411879,1.8918224971043736,1.272,250.0,249.0
Class3,P2,wavelet,5.487903225806452,0.017775569052841417,5.487945291989196,2.197595908869312,1.452,250.0,248.0
Class3,P3,wavelet,16.020333333333333,0.09530632821556631,16.020742514287075,6.536221278765066,2.388,250.0,250.0
Class4,P1,wavelet,,,,,0.0,50.0,0.0
Class4,P2,wavelet,2.5520833333333335,0.007998322728860625,2.552100383740195,2.3125139416708813,1.08,50.0,48.0
Class4,P3,wavelet,,,,,0.0,50.0,0.0
