Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,modified_scholkmann_1-2_99,0.5338541666666666,0.000993747718826058,0.5338556267102318,0.015625,0.524,250.0,64.0
Class1,P2,modified_scholkmann_1-2_99,17.356060606060606,0.039057082033311916,17.356130806183312,16.568249936613146,0.728,250.0,88.0
Class1,P3,modified_scholkmann_1-2_99,6.882066276803118,0.02228130731574883,6.882116602426027,6.081921310336192,1.52,250.0,171.0
Class2,P1,modified_scholkmann_1-2_99,14.088235294117647,0.032578938413179555,14.088298120858799,13.529476745946239,0.136,250.0,17.0
Class2,P2,modified_scholkmann_1-2_99,5.180327868852459,0.010487866380803734,5.1803438522607115,4.486354693693051,1.592,250.0,183.0
Class2,P3,modified_scholkmann_1-2_99,17.01288288288288,0.11109917109686983,17.013331996343595,15.957209536649087,1.656,250.0,185.0
Class3,P1,modified_scholkmann_1-2_99,,,,,0.0,250.0,0.0
Class3,P2,modified_scholkmann_1-2_99,3.669977924944812,0.006955594657990752,3.6699895522564443,3.125839161209311,1.268,250.0,151.0
Class3,P3,modified_scholkmann_1-2_99,13.046610169491526,0.10385942275382849,13.047083471173087,12.182679519714164,2.048,250.0,236.0
Class4,P1,modified_scholkmann_1-2_99,,,,,0.0,50.0,0.0
Class4,P2,modified_scholkmann_1-2_99,0.5416666666666666,0.00047822114077595695,0.5416670033382374,0.0,1.12,50.0,27.0
Class4,P3,modified_scholkmann_1-2_99,,,,,0.0,50.0,0.0
