Class Peak Mean_XY_Error Min_XY_Error Peak_Count Num_Signals_in_Class Num_Signals_with_Peak Config
Class1 P1 0.3633344065 0.2000002119 1.0133333333333334 300.0 300.0 it1_pm3_concave,it1_pm3_concave_d2x=0-002
Class1 P1 44.3064096924 0.2000002119 4.703333333333333 300.0 300.0 it1_none_concave
Class1 P1 44.4232694747 0.2000002119 4.766666666666667 300.0 300.0 it1_none_concave_d2x=0-002
Class1 P1 0.2023413285 0.2006691089 1.0 300.0 299.0 it1_full_concave,it1_full_concave_d2x=0-002,it1_pm3_concave_d2x=-0-002
Class1 P1 0.2013424952 0.2013424952 0.9933333333333332 300.0 298.0 it1_avg_concave,it1_avg_concave_d2x=0-002
Class1 P1 0.2030203263 0.2013424952 0.9966666666666668 300.0 298.0 it1_full_concave_d2x=-0-002
Class1 P1 0.2020204161 0.2020204161 0.99 300.0 297.0 it1_avg_concave_d2x=-0-002
Class1 P1 0.2099645938 0.2099645938 0.9366666666666666 300.0 281.0 it1_whiskers_concave,it1_whiskers_concave_d2x=0-002
Class1 P1 0.2107144673 0.2107144673 0.9333333333333332 300.0 280.0 it1_whiskers_concave_d2x=-0-002
Class1 P1 25.2641769861 0.2933399887 2.7133333333333334 300.0 300.0 it1_none_concave_d2x=-0-002
Class1 P2 22.3076088477 1.7467359921 6.28 300.0 300.0 it1_pm3_curvature
Class1 P2 56.3820996177 1.7467359921 17.37 300.0 300.0 it1_none_curvature
Class1 P2 19.5926157729 1.8167405959 5.59 300.0 300.0 it1_full_curvature
Class1 P2 10.2508323525 2.2321731995 3.203333333333333 300.0 293.0 it1_whiskers_curvature
Class1 P2 52.938718506 2.5167608475 6.8933333333333335 300.0 300.0 it1_none_wavelet
Class1 P2 17.7171198345 2.543422923 2.293333333333333 300.0 300.0 it1_pm3_wavelet
Class1 P2 15.6352052405 2.5504253369 2.13 300.0 298.0 it1_full_wavelet
Class1 P2 6.2498197448 2.6299843423 1.32 300.0 281.0 it1_whiskers_wavelet
Class1 P2 5.7707017507 2.7599336814 1.1266666666666667 300.0 279.0 it1_smooth_4Hz_whiskers_curvature
Class1 P2 49.173975187 2.9034487565 4.943333333333333 300.0 300.0 it1_smooth_4Hz_none_curvature
Class1 P3 8.0334992036 0.8595329942 1.68 300.0 299.0 it1_pm3_concave
Class1 P3 8.071682281 0.8595329942 1.6933333333333334 300.0 299.0 it1_pm3_concave_d2x=0-002
Class1 P3 6.5074499154 0.8605454592 1.53 300.0 294.0 it1_whiskers_concave
Class1 P3 6.5462823648 0.8605454592 1.5433333333333332 300.0 294.0 it1_whiskers_concave_d2x=0-002
Class1 P3 6.9020677948 0.8619540915 1.5766666666666669 300.0 297.0 it1_full_concave
Class1 P3 6.9405079972 0.8619540915 1.59 300.0 297.0 it1_full_concave_d2x=0-002
Class1 P3 49.1315118705 1.0600063033 4.703333333333333 300.0 300.0 it1_none_concave
Class1 P3 49.3497282295 1.0600063033 4.766666666666667 300.0 300.0 it1_none_concave_d2x=0-002
Class1 P3 21.5164217024 1.1633353782 9.063333333333333 300.0 300.0 it1_pm3_curvature
Class1 P3 43.8978209713 1.1633353782 17.37 300.0 300.0 it1_none_curvature
Class2 P1 0.4981956245 0.4945855162 0.9266666666666666 300.0 277.0 it1_avg_concave,it1_avg_concave_d2x=0-002
Class2 P1 2.1657763124 0.5985671943 1.1033333333333333 300.0 279.0 it1_whiskers_concave
Class2 P1 2.1681658096 0.5985671943 1.106666666666667 300.0 279.0 it1_whiskers_concave_d2x=0-002
