Class Peak Mean_XY_Error Min_XY_Error Peak_Count Num_Signals_in_Class Num_Signals_with_Peak Config
Class1 P1 0.2013424952 0.2013424952 0.9933333333333333 300.0 298.0 it1_avg_concave,it1_avg_concave_d2x=0-002
Class1 P1 0.2020204161 0.2020204161 0.99 300.0 297.0 it1_avg_concave_d2x=-0-002
Class1 P1 0.2023413285 0.2006691089 1.0 300.0 299.0 it1_full_concave,it1_full_concave_d2x=0-002,it1_pm3_concave_d2x=-0-002
Class1 P1 0.2030203263 0.2013424952 0.9966666666666667 300.0 298.0 it1_full_concave_d2x=-0-002
Class1 P1 0.2048612877 0.2048612877 0.96 300.0 288.0 it1_full_concave_tuned,it1_none_concave_tuned,it1_pm3_concave_tuned
Class1 P1 0.2062938841 0.2062938841 0.9533333333333334 300.0 286.0 it1_avg_concave_tuned
Class1 P1 0.2099645938 0.2099645938 0.9366666666666666 300.0 281.0 it1_whiskers_concave,it1_whiskers_concave_d2x=0-002,it1_whiskers_concave_tuned
Class1 P1 0.2107144673 0.2107144673 0.9333333333333333 300.0 280.0 it1_whiskers_concave_d2x=-0-002
Class1 P1 0.3633344065 0.2000002119 1.0133333333333334 300.0 300.0 it1_pm3_concave,it1_pm3_concave_d2x=0-002
Class1 P1 1.1178852228 0.9534253024 1.18 300.0 300.0 it1_smooth_3Hz_avg_wavelet
Class1 P2 3.207975927 3.1753299026 0.9733333333333334 300.0 291.0 it1_smooth_4Hz_avg_curvature
Class1 P2 3.6738426806 3.6100106958 1.06 300.0 282.0 it1_smooth_4Hz_avg_wavelet
Class1 P2 4.1894871301 3.0313436657 1.6933333333333334 300.0 288.0 it1_avg_curvature
Class1 P2 5.7707017507 2.7599336814 1.1266666666666667 300.0 279.0 it1_smooth_4Hz_whiskers_curvature
Class1 P2 6.1041893104 3.6210277542 1.2266666666666666 300.0 277.0 it1_smooth_4Hz_whiskers_wavelet
Class1 P2 6.2498197448 2.6299843423 1.32 300.0 281.0 it1_whiskers_wavelet
Class1 P2 10.2508323525 2.2321731995 3.203333333333333 300.0 293.0 it1_whiskers_curvature
Class1 P2 12.7074487469 12.4321858914 0.9766666666666667 300.0 287.0 it1_smooth_3Hz_avg_curvature
Class1 P2 13.621841074 13.4677624618 1.0733333333333333 300.0 278.0 it1_smooth_3Hz_avg_wavelet
Class1 P2 14.6741029295 3.0437004605 1.74 300.0 298.0 it1_smooth_4Hz_full_curvature
Class1 P3 4.7353317581 1.4117729059 1.15 300.0 289.0 it1_smooth_4Hz_full_concave,it1_smooth_4Hz_full_concave_d2x=0-002
Class1 P3 4.7473831634 1.4134359262 1.1266666666666667 300.0 283.0 it1_smooth_4Hz_full_concave_tuned
Class1 P3 4.7642178554 1.4184481103 1.1233333333333333 300.0 282.0 it1_smooth_4Hz_whiskers_concave_tuned
Class1 P3 4.767520551 1.4090991934 1.14 300.0 286.0 it1_smooth_4Hz_whiskers_concave,it1_smooth_4Hz_whiskers_concave_d2x=0-002
Class1 P3 4.8066127754 2.0401589885 1.05 300.0 274.0 it1_smooth_3Hz_pm3_concave,it1_smooth_3Hz_pm3_concave_d2x=0-002
Class1 P3 5.1365835717 2.8191986707 1.0066666666666666 300.0 271.0 it1_smooth_4Hz_pm3_modified_scholkmann0-5
Class1 P3 5.3750379305 1.485924058 1.16 300.0 284.0 it1_smooth_4Hz_pm3_concave_tuned
Class1 P3 5.3833897207 2.1777811404 1.0533333333333332 300.0 270.0 it1_pm3_modified_scholkmann0-5
Class1 P3 5.4295981744 1.4776715985 1.19 300.0 291.0 it1_smooth_4Hz_pm3_concave,it1_smooth_4Hz_pm3_concave_d2x=0-002
Class1 P3 5.4764590873 5.4764590873 0.9166666666666666 300.0 275.0 it1_smooth_4Hz_avg_line_distance_10,it1_smooth_4Hz_avg_line_perpendicular_10
Class2 P1 0.4981956245 0.4945855162 0.9266666666666666 300.0 277.0 it1_avg_concave,it1_avg_concave_d2x=0-002
Class2 P1 1.4601873885 1.4601873885 1.0 300.0 300.0 it1_smooth_3Hz_avg_hilbert
Class2 P1 2.1657763124 0.5985671943 1.1033333333333333 300.0 279.0 it1_whiskers_concave
Class2 P1 2.1681658096 0.5985671943 1.1066666666666667 300.0 279.0 it1_whiskers_concave_d2x=0-002
Class2 P1 2.2989054175 2.2989054175 0.96 300.0 288.0 it1_smooth_3Hz_avg_line_distance_10,it1_smooth_3Hz_avg_line_perpendicular_10
Class2 P1 2.8964442528 2.7536407459 1.21 300.0 300.0 it1_smooth_4Hz_avg_wavelet
Class2 P1 3.1004017893 3.1004017893 1.0 300.0 300.0 it1_smooth_4Hz_avg_line_distance_10,it1_smooth_4Hz_avg_line_perpendicular_10
Class2 P1 3.1004240284 3.1004240284 1.0 300.0 300.0 it1_smooth_4Hz_avg_hilbert
Class2 P1 3.3774825854 1.7769199984 1.39 300.0 300.0 it1_smooth_3Hz_avg_wavelet
Class2 P1 3.7889207453 3.707259588 1.0133333333333334 300.0 300.0 it1_smooth_4Hz_avg_curvature
Class2 P2 4.2120426014 3.3639851737 0.9966666666666667 300.0 283.0 it1_smooth_4Hz_whiskers_line_distance_10,it1_smooth_4Hz_whiskers_line_perpendicular_10
Class2 P2 4.4158151018 3.1900079135 1.02 300.0 279.0 it1_smooth_4Hz_whiskers_curvature
Class2 P2 4.4878860377 1.8924809562 1.23 300.0 279.0 it1_whiskers_hilbert
Class2 P2 4.6337291578 3.1062543144 1.0333333333333334 300.0 273.0 it1_whiskers_line_distance_10,it1_whiskers_line_perpendicular_10
Class2 P2 5.0069179184 3.6738796587 1.2033333333333334 300.0 279.0 it1_smooth_4Hz_whiskers_wavelet
Class2 P2 5.0908526932 3.2652812143 1.1933333333333334 300.0 279.0 it1_whiskers_wavelet
Class2 P2 5.5858951559 2.4444667687 1.2066666666666668 300.0 297.0 it1_smooth_4Hz_full_line_distance_10,it1_smooth_4Hz_full_line_perpendicular_10
Class2 P2 5.6494921285 2.0138968121 1.3333333333333333 300.0 288.0 it1_whiskers_concave,it1_whiskers_concave_tuned
Class2 P2 5.6567838745 2.0138968121 1.34 300.0 288.0 it1_whiskers_concave_d2x=0-002
Class2 P2 5.6637717791 2.4436844186 1.2 300.0 284.0 it1_full_line_distance_10,it1_full_line_perpendicular_10
Class2 P3 7.5313437145 3.5785150796 1.43 300.0 287.0 it1_full_hilbert
Class2 P3 7.7810621695 4.097697174 1.4166666666666667 300.0 287.0 it1_whiskers_hilbert
Class2 P3 7.8509390139 4.4213734802 1.2433333333333334 300.0 273.0 it1_whiskers_concave
Class2 P3 7.8762749117 4.4213734802 1.2533333333333334 300.0 273.0 it1_whiskers_concave_d2x=0-002
Class2 P3 7.9859294514 4.0110656539 1.27 300.0 274.0 it1_full_concave
Class2 P3 8.0111728824 4.0110656539 1.28 300.0 274.0 it1_full_concave_d2x=0-002
Class2 P3 9.5498167386 3.8790213086 1.5733333333333333 300.0 289.0 it1_pm3_hilbert
Class2 P3 10.0981055808 4.7767472252 1.4066666666666667 300.0 282.0 it1_pm3_concave
Class2 P3 10.1684375289 4.7767472252 1.4266666666666667 300.0 282.0 it1_pm3_concave_d2x=0-002
Class2 P3 10.6188465217 7.7824117563 2.14 300.0 280.0 it1_avg_curvature
Class3 P1 1.375678953 1.2244029129 1.1433333333333333 300.0 281.0 it1_smooth_3Hz_whiskers_wavelet
Class3 P1 1.3765583999 1.2263514483 1.15 300.0 283.0 it1_smooth_3Hz_full_wavelet
Class3 P1 1.5229953817 1.3708673966 1.1666666666666667 300.0 286.0 it1_smooth_3Hz_pm3_wavelet
Class3 P1 1.7066039694 1.6143026606 1.1766666666666667 300.0 298.0 it1_smooth_4Hz_whiskers_wavelet
Class3 P1 1.707585926 1.6155933172 1.18 300.0 299.0 it1_smooth_4Hz_full_wavelet
Class3 P1 1.7102292223 1.6168761719 1.1866666666666668 300.0 300.0 it1_smooth_4Hz_avg_wavelet
Class3 P1 1.7155583505 1.7155583505 0.9833333333333333 300.0 295.0 it1_smooth_3Hz_full_curvature
Class3 P1 1.7170289148 1.7170289148 0.9766666666666667 300.0 293.0 it1_smooth_3Hz_whiskers_curvature
Class3 P1 1.8485900973 1.6168761719 1.2033333333333334 300.0 300.0 it1_smooth_4Hz_pm3_wavelet
Class3 P1 1.9178490796 1.7915719684 1.0033333333333334 300.0 297.0 it1_smooth_3Hz_pm3_curvature
Class3 P2 2.4178700991 2.3928700101 0.9366666666666666 300.0 280.0 it1_smooth_4Hz_avg_hilbert
Class3 P2 3.0094222452 2.5051540822 1.1766666666666667 300.0 293.0 it1_smooth_4Hz_avg_wavelet
Class3 P2 3.3613489056 2.7603212259 1.0533333333333332 300.0 292.0 it1_smooth_4Hz_avg_curvature
Class3 P2 3.378047117 3.378047117 0.97 300.0 291.0 it1_smooth_4Hz_avg_line_distance_10,it1_smooth_4Hz_avg_line_perpendicular_10
Class3 P2 3.7099672882 2.2737088447 1.1233333333333333 300.0 285.0 it1_whiskers_concave,it1_whiskers_concave_tuned
Class3 P2 3.7240024146 2.2737088447 1.1266666666666667 300.0 285.0 it1_whiskers_concave_d2x=0-002
Class3 P2 4.1057046948 1.4166831776 1.19 300.0 276.0 it1_full_concave_d2x=-0-002
Class3 P2 4.3418486451 3.7636666482 0.9766666666666667 300.0 275.0 it1_smooth_4Hz_whiskers_concave,it1_smooth_4Hz_whiskers_concave_d2x=0-002
Class3 P2 4.3540451727 3.7737530225 0.9733333333333334 300.0 274.0 it1_smooth_4Hz_whiskers_concave_tuned
Class3 P2 4.455545399 3.2313462473 1.1966666666666668 300.0 281.0 it1_whiskers_wavelet
Class3 P3 10.4024980711 1.5457839584 1.8533333333333333 300.0 295.0 it1_full_hilbert
Class3 P3 10.4191653469 1.633924463 1.8433333333333333 300.0 295.0 it1_whiskers_hilbert
Class3 P3 10.9127730194 2.7508985484 1.8266666666666667 300.0 297.0 it1_full_concave_d2x=0-002
Class3 P3 10.9152982172 2.7508985484 1.81 300.0 297.0 it1_full_concave
Class3 P3 10.9453206117 2.8653816265 1.8166666666666667 300.0 297.0 it1_whiskers_concave_d2x=0-002
Class3 P3 10.9478458095 2.8653816265 1.8 300.0 297.0 it1_whiskers_concave
