Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,29.0,0.18908307894252546,29.00061641432372,0.0,2,31,"[31, 89]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0002,0.0,0.0,0.0,0.0,1,31,[31],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0003,0.0,0.0,0.0,0.0,1,33,[33],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0004,0.0,0.0,0.0,0.0,1,38,[38],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0005,31.0,0.214388269311675,31.000910450915992,0.0,3,38,"[38, 69, 100]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0006,0.0,0.0,0.0,0.0,1,25,[25],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0007,32.5,0.11135063853131422,32.5001907527433,0.0,2,31,"[31, 96]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0008,1.0,0.00020558039241092008,1.0000000211316487,1.0000000211316487,1,31,[32],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0009,46.0,0.23770915719747937,46.00061418767597,0.0,2,37,"[37, 129]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0010,13.0,0.4645433315155393,13.008615123075069,1.000000286986841,2,29,"[4, 28]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0011,34.0,0.24325815660331665,34.00088141905309,1.0000001278868464,2,28,"[29, 95]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0012,73.66666666666667,0.4253977374871749,73.66789552158481,0.0,3,29,"[29, 104, 175]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0013,0.0,0.0,0.0,0.0,1,38,[38],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0014,0.0,0.0,0.0,0.0,1,35,[35],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0015,0.0,0.0,0.0,0.0,1,32,[32],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0016,0.0,0.0,0.0,0.0,1,33,[33],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0017,33.5,0.2879905964347802,33.501237866437634,0.0,2,32,"[32, 99]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0018,0.0,0.0,0.0,0.0,1,30,[30],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0019,1.0,0.0013096803707212112,1.000000857630969,1.000000857630969,1,25,[26],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0020,26.0,0.11838488683778459,26.000269517476767,0.0,2,21,"[21, 73]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0021,28.0,0.1645295366051721,28.00048338812056,0.0,2,21,"[21, 77]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0022,0.0,0.0,0.0,0.0,1,22,[22],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0023,0.0,0.0,0.0,0.0,1,37,[37],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0024,0.0,0.0,0.0,0.0,1,44,[44],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0025,0.0,0.0,0.0,0.0,1,38,[38],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0026,0.0,0.0,0.0,0.0,1,39,[39],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0027,1.0,0.002348427675838427,1.0000027575524724,1.0000027575524724,1,31,[32],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0028,0.0,0.0,0.0,0.0,1,31,[31],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0029,17.5,0.43003165882238,17.50528283769187,0.0,2,39,"[4, 39]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0030,13.0,0.06970893778130288,13.000186896195247,0.0,2,25,"[25, 51]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0031,52.5,0.5215866574612202,52.504408701620406,0.0,4,33,"[4, 33, 72, 175]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0032,30.0,0.10950342941475244,30.000266004721926,0.0,3,25,"[25, 53, 87]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0033,0.0,0.0,0.0,0.0,1,26,[26],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0034,1.0,0.0003354082214127585,1.0000000562493359,1.0000000562493359,1,39,[38],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0035,13.5,0.06466913409605135,13.500154891589382,0.0,2,32,"[32, 59]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0036,50.5,0.6428331626844003,50.5067550875787,32.01237616156564,2,36,"[4, 105]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0037,49.75,0.4462132385691697,49.753339502579756,0.0,4,37,"[4, 37, 74, 166]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0038,0.0,0.0,0.0,0.0,1,31,[31],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0039,20.0,0.1584434315728792,20.000627598178227,0.0,2,25,"[25, 65]",300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0040,0.0,0.0,0.0,0.0,1,37,[37],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0041,0.0,0.0,0.0,0.0,1,36,[36],300,300,concave_d2x=-0-002
Class1,P1,Class1_example_0042,0.0,0.0,0.0,0.0,1,36,[36],300,300,concave_d2x=-0-002
