Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,curvature,1.79,0.02528214077601619,1.7901946538111944,1.5068476833321491,1.0266666666666666,300.0,300.0
Class1,P2,curvature,12.707317073170731,0.047067752273577665,12.707448746915341,12.432185891416148,0.9766666666666667,300.0,287.0
Class1,P3,curvature,23.29433962264151,0.14624310974714877,23.294855736710232,22.63069234049681,0.93,300.0,265.0
Class2,P1,curvature,4.601666666666667,0.04754099233032635,4.602076043796213,2.563791310830304,1.19,300.0,300.0
Class2,P2,curvature,17.209150326797385,0.11509802401494104,17.209655423897573,16.01029142464239,0.7433333333333333,300.0,204.0
Class2,P3,curvature,32.64375,0.24554365976359227,32.644738673633555,32.35722662757115,0.5433333333333333,300.0,160.0
Class3,P1,curvature,4.331661092530658,0.06442966047818294,4.332192737408073,1.997028796086254,1.1966666666666668,300.0,299.0
Class3,P2,curvature,11.903675538656527,0.06055430563781694,11.903882794926782,9.984992639231727,1.0433333333333332,300.0,263.0
Class3,P3,curvature,25.46996996996997,0.22153634849377593,25.4709840125787,24.856850035430863,0.7766666666666666,300.0,222.0
Class4,P1,curvature,,,,,1.11,100.0,73.0
Class4,P2,curvature,68.825,0.5922053182162317,68.82760838555323,68.42760241209501,0.42,100.0,40.0
Class4,P3,curvature,,,,,0.14,100.0,14.0
