Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,hilbert,1.3333333333333333,0.018783036402279237,1.333474793434219,1.333474793434219,1.0,300.0,300.0
Class1,P2,hilbert,22.97872340425532,0.07118441572112143,22.978878235334356,22.978878235334356,0.47,300.0,141.0
Class1,P3,hilbert,6.864197530864198,0.025193237698533714,6.864271675822584,6.814888942138696,0.56,300.0,162.0
Class2,P1,hilbert,1.46,0.022694885676296725,1.4601873884947,1.4601873884947,1.0,300.0,300.0
Class2,P2,hilbert,11.687074829931973,0.05231586793189492,11.687250634742343,11.687250634742343,0.49,300.0,147.0
Class2,P3,hilbert,6.1525423728813555,0.01753109435140375,6.1525763037398145,6.1525763037398145,0.19666666666666666,300.0,59.0
Class3,P1,hilbert,11.127118644067796,0.17148134205207483,11.128493387749057,11.128493387749057,0.3933333333333333,300.0,118.0
Class3,P2,hilbert,5.883408071748879,0.020701608974289794,5.883464886282221,5.829653283806619,0.75,300.0,223.0
Class3,P3,hilbert,1.794871794871795,0.0026392357935458976,1.7948743368155993,1.7948743368155993,0.26,300.0,78.0
Class4,P1,hilbert,,,,,0.71,100.0,71.0
Class4,P2,hilbert,,,,,0.0,100.0,0.0
Class4,P3,hilbert,,,,,0.0,100.0,0.0
