Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,line_perpendicular_3,59.46633333333334,0.3420679245337531,59.46747837314889,1.2034437524581525,3.8966666666666665,300.0,300.0
Class1,P2,line_perpendicular_3,46.63488888888889,0.2437165925146399,46.635663169713524,9.127098659893626,3.8966666666666665,300.0,300.0
Class1,P3,line_perpendicular_3,42.81566666666667,0.22785785210479303,42.81639988597474,4.330013413627013,3.8966666666666665,300.0,300.0
Class2,P1,line_perpendicular_3,60.94694444444444,0.2846254340364371,60.947785235578024,4.6770174403811025,3.93,300.0,300.0
Class2,P2,line_perpendicular_3,47.250611111111105,0.3013221803572437,47.251736202924725,8.340128019567985,3.93,300.0,300.0
Class2,P3,line_perpendicular_3,42.02905555555556,0.2502299927405876,42.030024384489245,6.910071505442733,3.93,300.0,300.0
Class3,P1,line_perpendicular_3,60.211999999999996,0.25347031594809283,60.2130872345229,4.4373856859031555,3.8966666666666665,300.0,300.0
Class3,P2,line_perpendicular_3,44.01988888888889,0.3343769541264962,44.02137747876737,5.263412301033732,3.8966666666666665,300.0,300.0
Class3,P3,line_perpendicular_3,41.67677777777778,0.3073530198434257,41.67808804837153,7.7034179574755655,3.8966666666666665,300.0,300.0
Class4,P1,line_perpendicular_3,,,,,2.33,100.0,100.0
Class4,P2,line_perpendicular_3,39.268499999999996,0.3250403212238435,39.26991358645457,6.39011063372022,2.33,100.0,100.0
Class4,P3,line_perpendicular_3,,,,,2.33,100.0,100.0
