Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,0.0,0.0,0.0,0.0,1,31,[31],300,242,line_perpendicular_3
Class1,P1,Class1_example_0002,0.0,0.0,0.0,0.0,1,31,[31],300,242,line_perpendicular_3
Class1,P1,Class1_example_0003,1.0,0.014172382420848395,1.000100423169335,1.000100423169335,1,33,[32],300,242,line_perpendicular_3
Class1,P1,Class1_example_0004,2.0,0.018082325465389237,2.000081740953163,2.000081740953163,1,38,[36],300,242,line_perpendicular_3
Class1,P1,Class1_example_0005,3.0,0.02546751078511056,3.000108097070102,3.000108097070102,1,38,[35],300,242,line_perpendicular_3
Class1,P1,Class1_example_0006,1.0,0.01634407721069686,1.0001335555113973,1.0001335555113973,1,25,[26],300,242,line_perpendicular_3
Class1,P1,Class1_example_0007,1.0,0.015782268296989255,1.0001245322421592,1.0001245322421592,1,31,[30],300,242,line_perpendicular_3
Class1,P1,Class1_example_0008,3.0,0.02009874791250188,3.0000673258558135,3.0000673258558135,1,31,[34],300,242,line_perpendicular_3
Class1,P1,Class1_example_0009,1.0,0.013036085067995917,1.000084966147327,1.000084966147327,1,37,[36],300,242,line_perpendicular_3
Class1,P1,Class1_example_0010,0.0,0.0,0.0,0.0,1,29,[29],300,242,line_perpendicular_3
Class1,P1,Class1_example_0011,1.0,0.019647608082193013,1.0001929956280196,1.0001929956280196,1,28,[29],300,242,line_perpendicular_3
Class1,P1,Class1_example_0012,0.0,0.0,0.0,0.0,1,29,[29],300,242,line_perpendicular_3
Class1,P1,Class1_example_0013,3.0,0.027423609339512156,3.000125339773191,3.000125339773191,1,38,[35],300,242,line_perpendicular_3
Class1,P1,Class1_example_0014,1.0,0.0098294631350897,1.0000483080059304,1.0000483080059304,1,35,[34],300,242,line_perpendicular_3
Class1,P1,Class1_example_0015,1.0,0.012368838763996415,1.000076491160736,1.000076491160736,1,32,[31],300,242,line_perpendicular_3
Class1,P1,Class1_example_0016,2.0,0.02303318032667101,2.00013262745148,2.00013262745148,1,33,[31],300,242,line_perpendicular_3
Class1,P1,Class1_example_0017,0.0,0.0,0.0,0.0,1,32,[32],300,242,line_perpendicular_3
Class1,P1,Class1_example_0018,0.0,0.0,0.0,0.0,1,30,[30],300,242,line_perpendicular_3
Class1,P1,Class1_example_0019,2.0,0.039619290527999174,2.000392383554272,2.000392383554272,1,25,[27],300,242,line_perpendicular_3
Class1,P1,Class1_example_0020,3.0,0.06007733027246953,3.0006014873042814,3.0006014873042814,1,21,[24],300,242,line_perpendicular_3
Class1,P1,Class1_example_0021,4.0,0.06351980585098016,4.000504313925352,4.000504313925352,1,21,[25],300,242,line_perpendicular_3
Class1,P1,Class1_example_0022,3.0,0.05165353938114847,3.0004446484030662,3.0004446484030662,1,22,[25],300,242,line_perpendicular_3
Class1,P1,Class1_example_0023,1.0,0.01582031885057844,1.0001251334150811,1.0001251334150811,1,37,[36],300,242,line_perpendicular_3
Class1,P1,Class1_example_0024,2.0,0.026157303027135592,2.000171043811417,2.000171043811417,1,44,[42],300,242,line_perpendicular_3
Class1,P1,Class1_example_0025,1.0,0.009556313755702428,1.000045660523857,1.000045660523857,1,38,[37],300,242,line_perpendicular_3
Class1,P1,Class1_example_0026,2.0,0.029819810780342793,2.0002222929252076,2.0002222929252076,1,39,[37],300,242,line_perpendicular_3
Class1,P1,Class1_example_0027,3.0,0.03292574427500772,3.000180678665214,3.000180678665214,1,31,[34],300,242,line_perpendicular_3
Class1,P1,Class1_example_0028,4.0,0.02259491502819555,4.000063815764085,4.000063815764085,1,31,[35],300,242,line_perpendicular_3
Class1,P1,Class1_example_0029,1.0,0.011490354879817977,1.0000660119488434,1.0000660119488434,1,39,[38],300,242,line_perpendicular_3
Class1,P1,Class1_example_0030,0.0,0.0,0.0,0.0,1,25,[25],300,242,line_perpendicular_3
Class1,P1,Class1_example_0031,1.0,0.010500820149415446,1.0000551320921314,1.0000551320921314,1,33,[32],300,242,line_perpendicular_3
Class1,P1,Class1_example_0032,0.0,0.0,0.0,0.0,1,25,[25],300,242,line_perpendicular_3
Class1,P1,Class1_example_0033,1.0,0.01788581522811339,1.0001599384030408,1.0001599384030408,1,26,[25],300,242,line_perpendicular_3
Class1,P1,Class1_example_0034,3.0,0.028668985500703403,3.0001369819942623,3.0001369819942623,1,39,[36],300,242,line_perpendicular_3
Class1,P1,Class1_example_0035,1.0,0.015695855574275552,1.0001231723553896,1.0001231723553896,1,32,[31],300,242,line_perpendicular_3
Class1,P1,Class1_example_0036,1.0,0.009529398625991892,1.000045403688339,1.000045403688339,1,36,[35],300,242,line_perpendicular_3
Class1,P1,Class1_example_0037,2.0,0.019615023553903765,2.000096184974368,2.000096184974368,1,37,[35],300,242,line_perpendicular_3
Class1,P1,Class1_example_0038,1.0,0.014582826877711952,1.000106323767501,1.000106323767501,1,31,[30],300,242,line_perpendicular_3
Class1,P1,Class1_example_0039,,,,,0,25,[],300,242,line_perpendicular_3
Class1,P1,Class1_example_0040,2.0,0.030267201657696807,2.0002290127623357,2.0002290127623357,1,37,[35],300,242,line_perpendicular_3
Class1,P1,Class1_example_0041,1.0,0.01569065870613573,1.0001230908096426,1.0001230908096426,1,36,[35],300,242,line_perpendicular_3
Class1,P1,Class1_example_0042,2.0,0.02948435525997173,2.000217319994279,2.000217319994279,1,36,[34],300,242,line_perpendicular_3
Class1,P1,Class1_example_0043,3.0,0.038423279559817836,3.000246047978754,3.000246047978754,1,35,[32],300,242,line_perpendicular_3
Class1,P1,Class1_example_0044,1.0,0.013593328792223858,1.0000923850263301,1.0000923850263301,1,35,[34],300,242,line_perpendicular_3
Class1,P1,Class1_example_0045,2.0,0.0247903819031442,2.0001536348578086,2.0001536348578086,1,41,[39],300,242,line_perpendicular_3
Class1,P1,Class1_example_0046,1.0,0.016559835687787627,1.0001371046801566,1.0001371046801566,1,34,[33],300,242,line_perpendicular_3
Class1,P1,Class1_example_0047,2.0,0.024930348405394653,2.0001553745325924,2.0001553745325924,1,37,[35],300,242,line_perpendicular_3
Class1,P1,Class1_example_0048,,,,,0,23,[],300,242,line_perpendicular_3
