Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,wavelet,2.9816666666666665,0.03111874251249354,2.9818397142273705,2.873487537463975,0.7133333333333334,0.36,0.2866666666666667,1.2133333333333334,1.0
Class1,P2,wavelet,2.4262948207171315,0.01916043370863643,2.4263876590419424,2.3706084642098135,0.8007968127490039,0.23107569721115537,0.33,0.9266666666666666,0.8366666666666667
Class1,P3,wavelet,4.708547008547009,0.013411035832287572,4.7085802531996235,4.400028209585792,0.7948717948717948,0.31794871794871793,0.48333333333333334,0.8,0.65
Class2,P1,wavelet,4.091666666666667,0.050934787650225195,4.0919976710244175,3.990303904184036,0.4266666666666667,0.7266666666666667,0.5733333333333334,1.2033333333333334,1.0
Class2,P2,wavelet,3.7563025210084033,0.02021404063572745,3.7563724302226222,3.6471252891515173,0.726890756302521,0.3487394957983193,0.42333333333333334,0.92,0.7933333333333333
Class2,P3,wavelet,6.467171717171717,0.04370078060726809,6.467351052398119,6.192091885476241,0.5858585858585859,0.5454545454545454,0.6133333333333333,0.7933333333333333,0.66
Class3,P1,wavelet,2.7441471571906355,0.03317734908474155,2.7443676746294594,2.6456866264700074,0.7725752508361204,0.3010033444816054,0.23,1.1933333333333334,0.9966666666666667
Class3,P2,wavelet,1.8947740112994351,0.010677687017905453,1.8948198238995924,1.7246154983155106,0.923728813559322,0.1016949152542373,0.2733333333333333,0.91,0.7866666666666666
Class3,P3,wavelet,3.503531073446328,0.014656419984490545,3.503569917019659,3.2966460100997836,0.8177966101694916,0.2542372881355932,0.3566666666666667,0.9333333333333333,0.7866666666666666
Class4,P1,wavelet,,,,,,,1.0,0.88,0.66
Class4,P2,wavelet,30.59375,0.2756419016084393,30.59508382822775,29.82943579945157,0.140625,1.046875,0.91,0.79,0.64
Class4,P3,wavelet,,,,,,,1.0,0.73,0.64
