Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,curvature,2.462962962962963,0.031174165424714465,2.4631699656275705,2.4631699656275705,0.8148148148148148,0.18518518518518517,0.8533333333333334,0.18,0.18
Class1,P2,curvature,17.947098976109213,0.06288078038296802,17.947273916984553,10.67589455469067,0.5870307167235495,0.8464163822525598,0.4266666666666667,1.4,0.9766666666666667
Class1,P3,curvature,16.156666666666666,0.08099121367103432,16.15693273464617,3.480027443162791,0.65,1.1233333333333333,0.35,1.7733333333333334,1.0
Class2,P1,curvature,7.207423580786026,0.0580369074484195,7.207856851198687,5.345441391390284,0.6200873362445415,0.5414847161572053,0.5266666666666666,0.8866666666666667,0.7633333333333333
Class2,P2,curvature,6.369415807560137,0.02282085326076914,6.369479542597608,3.9588184021232418,0.7628865979381443,0.4020618556701031,0.26,1.13,0.97
Class2,P3,curvature,16.520693512304252,0.11714815494286605,16.52118746928588,5.731612059024918,0.27181208053691275,1.4328859060402686,0.73,1.6933333333333334,0.9933333333333333
Class3,P1,curvature,1.7152542372881356,0.03160766258410364,1.7155583505017578,1.7155583505017578,0.9627118644067797,0.03728813559322034,0.05333333333333334,0.9833333333333333,0.9833333333333333
Class3,P2,curvature,5.849498327759197,0.019661420412341278,5.849553256673432,3.090352665882239,0.782608695652174,0.48494983277591974,0.22,1.2633333333333334,0.9966666666666667
Class3,P3,curvature,13.125862068965517,0.052904129106267454,13.126014227540576,5.586304142920496,0.27586206896551724,1.4482758620689655,0.7333333333333333,1.6666666666666667,0.9666666666666667
Class4,P1,curvature,,,,,,,1.0,0.0,0.0
Class4,P2,curvature,2.5316455696202533,0.0061409610366717875,2.5316559234497533,2.5316559234497533,0.7721518987341772,0.22784810126582278,0.39,0.79,0.79
Class4,P3,curvature,,,,,,,1.0,0.0,0.0
