Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,hilbert,1.7654320987654322,0.020906864087782806,1.765561786009749,1.765561786009749,0.9012345679012346,0.09876543209876543,0.7566666666666667,0.27,0.27
Class1,P2,hilbert,28.9,0.08811150196541748,28.900194015522164,27.600184578916597,0.16363636363636364,0.9227272727272727,0.88,0.7966666666666666,0.7333333333333333
Class1,P3,hilbert,5.537366548042705,0.014758569515345429,5.537404866546084,3.480444445007728,0.6476868327402135,0.47330960854092524,0.3933333333333333,1.05,0.9366666666666666
Class2,P1,hilbert,2.93796992481203,0.027378785236042265,2.938162193479658,2.1317714480159564,0.9022556390977443,0.16917293233082706,0.2,0.95,0.8866666666666667
Class2,P2,hilbert,11.275510204081632,0.027276531622927317,11.27555771203159,9.02555234899456,0.5102040816326531,0.6479591836734694,0.6666666666666666,0.7566666666666667,0.6533333333333333
Class2,P3,hilbert,9.918316831683168,0.055698439436683164,9.918535798345093,7.331850296679836,0.5891089108910891,0.5742574257425742,0.6033333333333334,0.7833333333333333,0.6733333333333333
Class3,P1,hilbert,2.183098591549296,0.031225293726980043,2.1833352981990926,2.1833352981990926,0.8450704225352113,0.15492957746478872,0.8,0.23666666666666666,0.23666666666666666
Class3,P2,hilbert,5.482935153583618,0.017773014293610282,5.48298023179993,4.542706769132079,0.6518771331058021,0.4402730375426621,0.36333333333333334,1.0666666666666667,0.9766666666666667
Class3,P3,hilbert,15.964684014869889,0.060478557889466905,15.964848250976985,12.182305467803276,0.4423791821561338,0.8661710037174721,0.6033333333333334,1.1733333333333333,0.8966666666666666
Class4,P1,hilbert,,,,,,,1.0,0.0,0.0
Class4,P2,hilbert,3.126315789473684,0.005406454373425221,3.126322075332235,3.126322075332235,0.6947368421052632,0.30526315789473685,0.34,0.95,0.95
Class4,P3,hilbert,,,,,,,1.0,0.0,0.0
