Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,line_distance_3,1.5462962962962963,0.01647816736807723,1.5463923024282147,1.5463923024282147,0.9629629629629629,0.037037037037037035,0.6533333333333333,0.36,0.36
Class1,P2,line_distance_3,18.46928327645051,0.06372783954421096,18.46945587114649,12.051324644961124,0.5802047781569966,0.7849829351535836,0.43333333333333335,1.3333333333333333,0.9766666666666667
Class1,P3,line_distance_3,16.495,0.07872024107050178,16.495254433973923,4.903366331626979,0.4633333333333333,1.2366666666666666,0.5366666666666666,1.7,1.0
Class2,P1,line_distance_3,4.870212765957447,0.04465684182369042,4.870524492753913,3.787550852430057,0.7106382978723405,0.37446808510638296,0.44333333333333336,0.85,0.7833333333333333
Class2,P2,line_distance_3,8.289156626506024,0.021407002708824237,8.289198850146848,6.4418046540937555,0.714859437751004,0.40963855421686746,0.4066666666666667,0.9333333333333333,0.83
Class2,P3,line_distance_3,16.804809843400445,0.1151180038665034,16.805280743264483,7.432986307479276,0.1610738255033557,1.436241610738255,0.84,1.5866666666666667,0.9933333333333333
Class3,P1,line_distance_3,2.0113636363636362,0.03528352248007051,2.011682556543013,2.011682556543013,0.9090909090909091,0.09090909090909091,0.2,0.88,0.88
Class3,P2,line_distance_3,6.226962457337884,0.022992729600800645,6.227026743952645,5.614398423098424,0.5733788395904437,0.4778156996587031,0.44,1.0266666666666666,0.9766666666666667
Class3,P3,line_distance_3,13.809356725146198,0.054097895582009184,13.809504792233534,8.010634129706824,0.10877192982456141,1.456140350877193,0.8966666666666666,1.4866666666666666,0.95
Class4,P1,line_distance_3,,,,,,,1.0,0.0,0.0
Class4,P2,line_distance_3,4.155172413793103,0.012794326354763323,4.1551941052503825,4.1551941052503825,0.46551724137931033,0.5344827586206896,0.73,0.58,0.58
Class4,P3,line_distance_3,,,,,,,1.0,0.0,0.0
