Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,,,,,,,1,0,31,[],0.37,wavelet
Class1,P1,Class1_example_0002,0.0,0.0,0.0,0.0,1.0,0.0,0,1,31,[31],0.37,wavelet
Class1,P1,Class1_example_0003,1.0,0.01417238242085106,1.000100423169335,1.000100423169335,1.0,0.0,0,1,33,[32],0.37,wavelet
Class1,P1,Class1_example_0004,1.5,0.0123540476318994,1.5000518455624845,1.0000219501718057,1.0,0.0,0,2,38,"[36, 37]",0.37,wavelet
Class1,P1,Class1_example_0005,2.0,0.012258586568141827,2.0000375678833255,2.0000375678833255,1.0,0.0,0,1,38,[36],0.37,wavelet
Class1,P1,Class1_example_0006,1.0,0.01634407721069664,1.0001335555113973,1.0001335555113973,1.0,0.0,0,1,25,[26],0.37,wavelet
Class1,P1,Class1_example_0007,,,,,,,1,0,31,[],0.37,wavelet
Class1,P1,Class1_example_0008,2.0,0.03260698607731927,2.0002657862246824,2.0002657862246824,1.0,0.0,0,1,31,[29],0.37,wavelet
Class1,P1,Class1_example_0009,1.0,0.013036085067998138,1.000084966147327,1.000084966147327,1.0,0.0,0,1,37,[36],0.37,wavelet
Class1,P1,Class1_example_0010,,,,,,,1,0,29,[],0.37,wavelet
Class1,P1,Class1_example_0011,,,,,,,1,0,28,[],0.37,wavelet
Class1,P1,Class1_example_0012,,,,,,,1,0,29,[],0.37,wavelet
Class1,P1,Class1_example_0013,4.0,0.044000772829887014,4.000242001180632,4.000242001180632,0.0,1.0,1,1,38,[34],0.37,wavelet
Class1,P1,Class1_example_0014,1.5,0.016981219862513164,1.5000969514231195,1.0000483080059304,1.0,0.0,0,2,35,"[33, 34]",0.37,wavelet
Class1,P1,Class1_example_0015,1.5,0.020748922474112697,1.5001443023315109,1.000076491160736,1.0,0.0,0,2,32,"[30, 31]",0.37,wavelet
Class1,P1,Class1_example_0016,2.0,0.023033180326672564,2.00013262745148,2.00013262745148,1.0,0.0,0,1,33,[31],0.37,wavelet
Class1,P1,Class1_example_0017,,,,,,,1,0,32,[],0.37,wavelet
Class1,P1,Class1_example_0018,,,,,,,1,0,30,[],0.37,wavelet
Class1,P1,Class1_example_0019,,,,,,,1,0,25,[],0.37,wavelet
Class1,P1,Class1_example_0020,,,,,,,1,0,21,[],0.37,wavelet
Class1,P1,Class1_example_0021,,,,,,,1,0,21,[],0.37,wavelet
Class1,P1,Class1_example_0022,,,,,,,1,0,22,[],0.37,wavelet
Class1,P1,Class1_example_0023,,,,,,,1,0,37,[],0.37,wavelet
Class1,P1,Class1_example_0024,1.0,0.010955762862012497,1.00006001256919,1.00006001256919,1.0,0.0,0,1,44,[43],0.37,wavelet
Class1,P1,Class1_example_0025,,,,,,,1,0,38,[],0.37,wavelet
Class1,P1,Class1_example_0026,,,,,,,1,0,39,[],0.37,wavelet
Class1,P1,Class1_example_0027,0.5,0.009326540283576046,0.5000869767886994,0.0,1.0,0.0,0,2,31,"[30, 31]",0.37,wavelet
Class1,P1,Class1_example_0028,0.0,0.0,0.0,0.0,1.0,0.0,0,1,31,[31],0.37,wavelet
Class1,P1,Class1_example_0029,0.5,0.005745177439908655,0.5000330059744217,0.0,1.0,0.0,0,2,39,"[38, 39]",0.37,wavelet
Class1,P1,Class1_example_0030,,,,,,,1,0,25,[],0.37,wavelet
Class1,P1,Class1_example_0031,0.0,0.0,0.0,0.0,1.0,0.0,0,1,33,[33],0.37,wavelet
Class1,P1,Class1_example_0032,,,,,,,1,0,25,[],0.37,wavelet
Class1,P1,Class1_example_0033,,,,,,,1,0,26,[],0.37,wavelet
Class1,P1,Class1_example_0034,3.5,0.03726498264931832,3.50019993851927,3.0001369819942623,1.0,1.0,0,2,39,"[35, 36]",0.37,wavelet
Class1,P1,Class1_example_0035,1.0,0.01569585557427866,1.0001231723553898,1.0001231723553898,1.0,0.0,0,1,32,[31],0.37,wavelet
Class1,P1,Class1_example_0036,2.0,0.023304379653751095,2.0001357689194617,2.0001357689194617,1.0,0.0,0,1,36,[34],0.37,wavelet
Class1,P1,Class1_example_0037,,,,,,,1,0,37,[],0.37,wavelet
Class1,P1,Class1_example_0038,,,,,,,1,0,31,[],0.37,wavelet
Class1,P1,Class1_example_0039,,,,,,,1,0,25,[],0.37,wavelet
Class1,P1,Class1_example_0040,2.0,0.030267201657699916,2.0002290127623357,2.0002290127623357,1.0,0.0,0,1,37,[35],0.37,wavelet
Class1,P1,Class1_example_0041,,,,,,,1,0,36,[],0.37,wavelet
Class1,P1,Class1_example_0042,,,,,,,1,0,36,[],0.37,wavelet
Class1,P1,Class1_example_0043,,,,,,,1,0,35,[],0.37,wavelet
Class1,P1,Class1_example_0044,,,,,,,1,0,35,[],0.37,wavelet
Class1,P1,Class1_example_0045,2.0,0.02479038190314975,2.0001536348578086,2.0001536348578086,1.0,0.0,0,1,41,[39],0.37,wavelet
Class1,P1,Class1_example_0046,1.0,0.016559835687790292,1.0001371046801566,1.0001371046801566,1.0,0.0,0,1,34,[33],0.37,wavelet
Class1,P1,Class1_example_0047,1.0,0.010133229758546802,1.0000513398547795,1.0000513398547795,1.0,0.0,0,1,37,[36],0.37,wavelet
Class1,P1,Class1_example_0048,,,,,,,1,0,23,[],0.37,wavelet
Class1,P1,Class1_example_0049,1.5,0.01904457939819465,1.5001216899632785,1.0000631569867309,1.0,0.0,0,2,36,"[34, 35]",0.37,wavelet
Class1,P1,Class1_example_0050,1.0,0.010504080810704308,1.0000551663351767,1.0000551663351767,1.0,0.0,0,1,42,[41],0.37,wavelet
Class1,P1,Class1_example_0051,,,,,,,1,0,29,[],0.37,wavelet
Class1,P1,Class1_example_0052,,,,,,,1,0,31,[],0.37,wavelet
