Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,wavelet,1.509009009009009,0.01714603891295168,1.5091132829895988,1.4415376388755852,0.963963963963964,0.05405405405405406,0.6433333333333333,0.42,0.37
Class1,P2,wavelet,19.24571917808219,0.06678120713824272,19.24590106858571,12.647401296479112,0.5171232876712328,1.0068493150684932,0.49666666666666665,1.5566666666666666,0.9733333333333334
Class1,P3,wavelet,16.704444444444444,0.0834847609516213,16.704722723225824,4.0800304693424625,0.5666666666666667,1.46,0.43333333333333335,2.1033333333333335,1.0
Class2,P1,wavelet,4.272,0.03877208505873559,4.272288876457609,2.920275100255591,0.828,0.352,0.31,1.1033333333333333,0.8333333333333334
Class2,P2,wavelet,7.528484848484849,0.025299324670755786,7.528552774553523,5.567334668346301,0.6909090909090909,0.52,0.36666666666666664,1.1733333333333333,0.9166666666666666
Class2,P3,wavelet,16.722762863534676,0.11594797249447825,16.72324730819394,6.775255882009453,0.1610738255033557,1.8120805369127517,0.84,1.98,0.9933333333333333
Class3,P1,wavelet,1.3763250883392226,0.024724513648977584,1.3765583998894109,1.2263514483483375,0.9752650176678446,0.04946996466431095,0.08,1.15,0.9433333333333334
Class3,P2,wavelet,5.1266891891891895,0.01704281528578107,5.126735372961151,3.3649057954927857,0.8074324324324325,0.39864864864864863,0.20333333333333334,1.29,0.9866666666666667
Class3,P3,wavelet,13.949415204678363,0.057064045549341635,13.949580185542201,6.94397567325066,0.14736842105263157,1.7894736842105263,0.86,1.8466666666666667,0.95
Class4,P1,wavelet,,,,,,,1.0,0.0,0.0
Class4,P2,wavelet,2.4819277108433737,0.006391339482915671,2.4819395600388923,2.3614570890537454,0.7951807228915663,0.27710843373493976,0.34,0.98,0.83
Class4,P3,wavelet,,,,,,,1.0,0.0,0.0
