Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,hilbert,39.60008333333333,0.23857951965638227,39.60094927887025,2.7170269200246584,0.8233333333333334,1.8333333333333333,0.17666666666666667,2.6566666666666667,1.0
Class1,P2,hilbert,34.35213888888889,0.1751384639729747,34.35272690736774,17.00050596456928,0.37666666666666665,2.28,0.6233333333333333,2.6566666666666667,1.0
Class1,P3,hilbert,37.300916666666666,0.17427193357233572,37.30142307213908,3.436706369652251,0.7866666666666666,1.87,0.21333333333333335,2.6566666666666667,1.0
Class2,P1,hilbert,28.071666666666665,0.09201076453130401,28.071986817493876,3.1004240283688382,0.66,2.05,0.34,2.71,1.0
Class2,P2,hilbert,23.041222222222224,0.09215546417817325,23.041505450255336,4.90001466198928,0.7666666666666667,1.9433333333333334,0.23333333333333334,2.71,1.0
Class2,P3,hilbert,35.721,0.1438630399368463,35.72147687706974,9.760296346241986,0.6366666666666667,2.0733333333333333,0.36333333333333334,2.71,1.0
Class3,P1,hilbert,32.69288888888889,0.31404045417116155,32.69489582655311,14.655137709273413,0.5266666666666666,1.7266666666666666,0.47333333333333333,2.2533333333333334,1.0
Class3,P2,hilbert,15.463222222222221,0.09408052896984706,15.46363366190187,2.906692209255292,0.82,1.4333333333333333,0.18,2.2533333333333334,1.0
Class3,P3,hilbert,24.758333333333333,0.10873769268988114,24.75865482883284,7.673435973388955,0.6533333333333333,1.6,0.3466666666666667,2.2533333333333334,1.0
Class4,P1,hilbert,,,,,,,,1.04,1.0
Class4,P2,hilbert,4.246666666666667,0.016065917765912548,4.246715848071228,2.850007342183352,0.82,0.22,0.18,1.04,1.0
Class4,P3,hilbert,,,,,,,,1.04,1.0
