Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,concave,2.8842105263157896,0.02140625192851149,2.8843004383266884,2.8843004383266884,129.0,61.0,171,0.6333333333333333,0.6333333333333333
Class1,P2,concave,27.604354354354356,0.09328051353912611,27.60459117661553,26.234456652937165,32.0,213.0,268,0.8166666666666667,0.74
Class1,P3,concave,4.215613382899628,0.013954118765745177,4.215651924853797,1.8475957680154806,240.0,65.0,60,1.0166666666666666,0.8966666666666666
Class2,P1,concave,8.077102803738319,0.04364241929714519,8.077306511427349,7.645072361175291,36.0,190.0,264,0.7533333333333333,0.7133333333333334
Class2,P2,concave,11.912765957446808,0.027149211545764232,11.91281469513395,8.47237655502943,119.0,185.0,181,1.0133333333333334,0.7833333333333333
Class2,P3,concave,9.790322580645162,0.05868028994556342,9.790545308963582,7.37115678094888,137.0,77.0,163,0.7133333333333334,0.62
Class3,P1,concave,4.6521739130434785,0.04330458498549875,4.6524031341013865,4.6524031341013865,4.0,19.0,296,0.07666666666666666,0.07666666666666666
Class3,P2,concave,6.217905405405405,0.01879630903226474,6.217952132347105,5.2872096906273605,181.0,142.0,119,1.0766666666666667,0.9866666666666667
Class3,P3,concave,14.744827586206897,0.06786828768257613,14.745028696012543,12.427776671499506,109.0,238.0,191,1.1566666666666667,0.9666666666666667
Class4,P1,concave,,,,,0.0,0.0,100,0.0,0.0
Class4,P2,concave,1.2391304347826086,0.001794381204812366,1.2391327819124986,1.2391327819124986,87.0,5.0,13,0.92,0.92
Class4,P3,concave,,,,,0.0,0.0,100,0.0,0.0
