Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,,,,,,,1,0,31,[],0.37,wavelet
Class1,P1,Class1_example_0002,0.0,0.0,0.0,0.0,1.0,0.0,0,1,31,[31],0.37,wavelet
Class1,P1,Class1_example_0003,1.0,0.0016735529244863434,1.000001400388715,1.000001400388715,1.0,0.0,0,1,33,[32],0.37,wavelet
Class1,P1,Class1_example_0004,1.5,0.004675766718518215,1.5000085730255501,1.0000008010232762,1.0,0.0,0,2,38,"[36, 37]",0.37,wavelet
Class1,P1,Class1_example_0005,2.0,0.012707974062929561,2.0000403727437064,2.0000403727437064,1.0,0.0,0,1,38,[36],0.37,wavelet
Class1,P1,Class1_example_0006,1.0,0.003915273951857978,1.0000076646556857,1.0000076646556857,1.0,0.0,0,1,25,[26],0.37,wavelet
Class1,P1,Class1_example_0007,,,,,,,1,0,31,[],0.37,wavelet
Class1,P1,Class1_example_0008,2.0,0.010648854325844614,2.000028349323692,2.000028349323692,1.0,0.0,0,1,31,[29],0.37,wavelet
Class1,P1,Class1_example_0009,1.0,0.0002465457345613986,1.000000030392399,1.000000030392399,1.0,0.0,0,1,37,[36],0.37,wavelet
Class1,P1,Class1_example_0010,,,,,,,1,0,29,[],0.37,wavelet
Class1,P1,Class1_example_0011,,,,,,,1,0,28,[],0.37,wavelet
Class1,P1,Class1_example_0012,,,,,,,1,0,29,[],0.37,wavelet
Class1,P1,Class1_example_0013,4.0,0.02125026529578833,4.000056446323619,4.000056446323619,0.0,1.0,1,1,38,[34],0.37,wavelet
Class1,P1,Class1_example_0014,1.5,0.004717433022058015,1.5000086258862422,1.000000911588132,1.0,0.0,0,2,35,"[33, 34]",0.37,wavelet
Class1,P1,Class1_example_0015,1.5,0.006431365532202471,1.5000143241274881,1.0000047778415586,1.0,0.0,0,2,32,"[30, 31]",0.37,wavelet
Class1,P1,Class1_example_0016,2.0,0.006863230292513234,2.000011775947844,2.000011775947844,1.0,0.0,0,1,33,[31],0.37,wavelet
Class1,P1,Class1_example_0017,,,,,,,1,0,32,[],0.37,wavelet
Class1,P1,Class1_example_0018,,,,,,,1,0,30,[],0.37,wavelet
Class1,P1,Class1_example_0019,,,,,,,1,0,25,[],0.37,wavelet
Class1,P1,Class1_example_0020,,,,,,,1,0,21,[],0.37,wavelet
Class1,P1,Class1_example_0021,,,,,,,1,0,21,[],0.37,wavelet
Class1,P1,Class1_example_0022,,,,,,,1,0,22,[],0.37,wavelet
Class1,P1,Class1_example_0023,,,,,,,1,0,37,[],0.37,wavelet
Class1,P1,Class1_example_0024,1.0,0.003558174524480373,1.0000063302829372,1.0000063302829372,1.0,0.0,0,1,44,[43],0.37,wavelet
Class1,P1,Class1_example_0025,,,,,,,1,0,38,[],0.37,wavelet
Class1,P1,Class1_example_0026,,,,,,,1,0,39,[],0.37,wavelet
Class1,P1,Class1_example_0027,0.5,0.003855760177762735,0.5000148666655307,0.0,1.0,0.0,0,2,31,"[30, 31]",0.37,wavelet
Class1,P1,Class1_example_0028,0.0,0.0,0.0,0.0,1.0,0.0,0,1,31,[31],0.37,wavelet
Class1,P1,Class1_example_0029,0.5,0.001894876960320202,0.5000035905458028,0.0,1.0,0.0,0,2,39,"[38, 39]",0.37,wavelet
Class1,P1,Class1_example_0030,,,,,,,1,0,25,[],0.37,wavelet
Class1,P1,Class1_example_0031,0.0,0.0,0.0,0.0,1.0,0.0,0,1,33,[33],0.37,wavelet
Class1,P1,Class1_example_0032,,,,,,,1,0,25,[],0.37,wavelet
Class1,P1,Class1_example_0033,,,,,,,1,0,26,[],0.37,wavelet
Class1,P1,Class1_example_0034,3.5,0.016838264924467494,3.5000423841351433,3.0000195907363096,1.0,1.0,0,2,39,"[35, 36]",0.37,wavelet
Class1,P1,Class1_example_0035,1.0,0.004723363135796577,1.000011155017439,1.000011155017439,1.0,0.0,0,1,32,[31],0.37,wavelet
Class1,P1,Class1_example_0036,2.0,0.003966744319662818,2.000003933761256,2.000003933761256,1.0,0.0,0,1,36,[34],0.37,wavelet
Class1,P1,Class1_example_0037,,,,,,,1,0,37,[],0.37,wavelet
Class1,P1,Class1_example_0038,,,,,,,1,0,31,[],0.37,wavelet
Class1,P1,Class1_example_0039,,,,,,,1,0,25,[],0.37,wavelet
Class1,P1,Class1_example_0040,2.0,0.00720226570424598,2.000012968115776,2.000012968115776,1.0,0.0,0,1,37,[35],0.37,wavelet
Class1,P1,Class1_example_0041,,,,,,,1,0,36,[],0.37,wavelet
Class1,P1,Class1_example_0042,,,,,,,1,0,36,[],0.37,wavelet
Class1,P1,Class1_example_0043,,,,,,,1,0,35,[],0.37,wavelet
Class1,P1,Class1_example_0044,,,,,,,1,0,35,[],0.37,wavelet
Class1,P1,Class1_example_0045,2.0,0.010520987334373011,2.0000276726021795,2.0000276726021795,1.0,0.0,0,1,41,[39],0.37,wavelet
Class1,P1,Class1_example_0046,1.0,0.0018222142868972169,1.0000016602310755,1.0000016602310755,1.0,0.0,0,1,34,[33],0.37,wavelet
Class1,P1,Class1_example_0047,1.0,0.004773551167638224,1.000011393330471,1.000011393330471,1.0,0.0,0,1,37,[36],0.37,wavelet
Class1,P1,Class1_example_0048,,,,,,,1,0,23,[],0.37,wavelet
Class1,P1,Class1_example_0049,1.5,0.008172094501803728,1.5000232302172707,1.000007373794968,1.0,0.0,0,2,36,"[34, 35]",0.37,wavelet
Class1,P1,Class1_example_0050,1.0,0.0033433593800705763,1.0000055890103536,1.0000055890103536,1.0,0.0,0,1,42,[41],0.37,wavelet
Class1,P1,Class1_example_0051,,,,,,,1,0,29,[],0.37,wavelet
Class1,P1,Class1_example_0052,,,,,,,1,0,31,[],0.37,wavelet
