Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,line_distance_3,1.6153846153846154,0.0068233316419839245,1.6154032819620185,1.6154032819620185,38.0,1.0,262,0.13,0.13
Class1,P2,line_distance_3,8.324675324675324,0.034755664407150375,8.324793486589925,7.549879685378349,159.0,83.0,141,0.8066666666666666,0.77
Class1,P3,line_distance_3,14.824414715719064,0.07293366737320765,14.824651969520923,5.237518509513858,137.0,336.0,163,1.5766666666666667,0.9966666666666667
Class2,P1,line_distance_3,3.046728971962617,0.015566694780803464,3.0467837649531884,3.0467837649531884,155.0,59.0,145,0.7133333333333334,0.7133333333333334
Class2,P2,line_distance_3,7.086633663366337,0.013579533947885084,7.086653391154889,6.410910751895931,143.0,68.0,157,0.7033333333333334,0.6733333333333333
Class2,P3,line_distance_3,13.909090909090908,0.09902437027172784,13.909498773617367,9.134913502498417,45.0,356.0,255,1.3366666666666667,0.99
Class3,P1,line_distance_3,1.9616858237547892,0.015018000858161405,1.961753871985697,1.961753871985697,239.0,22.0,61,0.87,0.87
Class3,P2,line_distance_3,5.414012738853503,0.01788997103790321,5.414055661855796,5.414055661855796,87.0,70.0,213,0.5233333333333333,0.5233333333333333
Class3,P3,line_distance_3,14.029929577464788,0.06296919781192266,14.030118244421951,8.503693398356296,31.0,406.0,269,1.4566666666666668,0.9466666666666667
Class4,P1,line_distance_3,,,,,0.0,0.0,100,0.0,0.0
Class4,P2,line_distance_3,3.0,0.0031681615893817683,3.0000019972511467,3.0000019972511467,3.0,1.0,97,0.04,0.04
Class4,P3,line_distance_3,,,,,0.0,0.0,100,0.0,0.0
