Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,concave_tuned,1.205240174672489,0.00522735080865138,1.2052550429031161,1.2052550429031161,228.0,1.0,72.0,0.7633333333333333,0.7633333333333333
Class1,P2,concave_tuned,3.0588235294117645,0.005087601584459863,3.058829834244421,3.058829834244421,23.0,11.0,277.0,0.11333333333333333,0.11333333333333333
Class1,P3,concave_tuned,1.282442748091603,0.0015738557422470612,1.282445445662997,1.282445445662997,248.0,14.0,52.0,0.8733333333333333,0.8733333333333333
Class2,P1,concave_tuned,2.5,0.013243264968025309,2.500058993436014,2.500058993436014,132.0,32.0,168.0,0.5466666666666666,0.5466666666666666
Class2,P2,concave_tuned,1.6666666666666667,0.002523372125187494,1.6666710248656744,1.6666710248656744,227.0,22.0,73.0,0.83,0.83
Class2,P3,concave_tuned,1.575,0.0019168771437911222,1.5750017633518258,1.5750017633518258,71.0,9.0,229.0,0.26666666666666666,0.26666666666666666
Class3,P1,concave_tuned,4.230769230769231,0.021442550100810434,4.230846747176633,4.230846747176633,2.0,11.0,298.0,0.043333333333333335,0.043333333333333335
Class3,P2,concave_tuned,1.868,0.004107942451459042,1.8680075781269336,1.8680075781269336,227.0,23.0,73.0,0.8333333333333334,0.8333333333333334
Class3,P3,concave_tuned,1.1367521367521367,0.0020688264014548418,1.136755790364165,1.136755790364165,115.0,2.0,185.0,0.39,0.39
Class4,P1,concave_tuned,,,,,0.0,0.0,70.0,0.3,0.3
Class4,P2,concave_tuned,,,,,0.0,0.0,100.0,0.0,0.0
Class4,P3,concave_tuned,,,,,0.0,0.0,99.0,0.01,0.01
