Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,30.5,0.1938649632270858,30.500619045459295,2.0000158147540166,1.0,1.0,0.0,2,31,"[33, 90]",1.0,concave_d2x=0-002
Class1,P1,Class1_example_0002,34.0,0.26730676017645344,34.0010604808038,2.0000123782590693,1.0,1.0,0.0,2,31,"[33, 97]",1.0,concave_d2x=0-002
Class1,P1,Class1_example_0003,60.333333333333336,0.4865195311480892,60.33532640307043,1.0000067884699657,1.0,2.0,0.0,3,33,"[34, 93, 153]",1.0,concave_d2x=0-002
Class1,P1,Class1_example_0004,60.666666666666664,0.48671984064753654,60.6686244258957,0.0,1.0,2.0,0.0,3,38,"[38, 103, 155]",1.0,concave_d2x=0-002
Class1,P1,Class1_example_0005,33.0,0.21732315626160778,33.000846604207446,0.0,1.0,2.0,0.0,3,38,"[38, 73, 102]",1.0,concave_d2x=0-002
Class1,P1,Class1_example_0006,64.33333333333333,0.3735825251954809,64.33441861617197,2.0000277780598354,1.0,2.0,0.0,3,25,"[27, 77, 164]",1.0,concave_d2x=0-002
Class1,P1,Class1_example_0007,33.0,0.11257376290179094,33.00019224877429,1.000002992061975,1.0,1.0,0.0,2,31,"[32, 96]",1.0,concave_d2x=0-002
Class1,P1,Class1_example_0008,32.0,0.21615339903588898,32.00074092035365,1.0000000211316487,1.0,1.0,0.0,2,31,"[32, 94]",1.0,concave_d2x=0-002
Class1,P1,Class1_example_0009,45.0,0.2430990473299598,45.00065688656302,1.000020539235429,1.0,1.0,0.0,2,37,"[38, 126]",1.0,concave_d2x=0-002
Class1,P1,Class1_example_0010,30.0,0.2661128006700767,30.001180261936238,2.0000753984573167,1.0,1.0,0.0,2,29,"[31, 87]",1.0,concave_d2x=0-002
Class1,P1,Class1_example_0011,35.5,0.25127155734842777,35.50089194682395,3.0000408966481804,1.0,1.0,0.0,2,28,"[31, 96]",1.0,concave_d2x=0-002
Class1,P1,Class1_example_0012,70.66666666666667,0.4258733449887644,70.66795499975849,1.0000118082399454,1.0,2.0,0.0,3,29,"[30, 105, 164]",1.0,concave_d2x=0-002
Class1,P1,Class1_example_0013,63.0,0.3711594022588809,63.00109331830588,63.00109331830588,0.0,1.0,1.0,1,38,[101],1.0,concave_d2x=0-002
Class1,P1,Class1_example_0014,30.0,0.26559808483567904,30.001184017640618,1.0000048900015004,1.0,1.0,0.0,2,35,"[36, 94]",1.0,concave_d2x=0-002
Class1,P1,Class1_example_0015,30.5,0.14051687971766302,30.500328204472215,1.000000076461159,1.0,1.0,0.0,2,32,"[33, 92]",1.0,concave_d2x=0-002
