Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,5.0,0.04564522725517983,5.000208344336381,5.000208344336381,0.0,1.0,1.0,1,31,[36],0.45,concave_tuned
Class1,P1,Class1_example_0002,3.0,0.01773532806288225,3.000052423185551,3.000052423185551,1.0,0.0,0.0,1,31,[34],0.45,concave_tuned
Class1,P1,Class1_example_0003,3.0,0.022901002537794368,3.0000874080461783,3.0000874080461783,1.0,0.0,0.0,1,33,[36],0.45,concave_tuned
Class1,P1,Class1_example_0004,1.0,0.004338834533734071,1.0000094126982562,1.0000094126982562,1.0,0.0,0.0,1,38,[39],0.45,concave_tuned
Class1,P1,Class1_example_0005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,38,[38],0.45,concave_tuned
Class1,P1,Class1_example_0006,4.0,0.030265934439258402,4.000114501709605,4.000114501709605,0.0,1.0,1.0,1,25,[29],0.45,concave_tuned
Class1,P1,Class1_example_0007,3.0,0.018056086200538224,3.0000543365494035,3.0000543365494035,1.0,0.0,0.0,1,31,[34],0.45,concave_tuned
Class1,P1,Class1_example_0008,3.0,0.006088453326226206,3.000006178204289,3.000006178204289,1.0,0.0,0.0,1,31,[34],0.45,concave_tuned
Class1,P1,Class1_example_0009,3.0,0.029222731336859376,3.0001423246284147,3.0001423246284147,1.0,0.0,0.0,1,37,[40],0.45,concave_tuned
Class1,P1,Class1_example_0010,4.0,0.04243497297740839,4.000225084533568,4.000225084533568,0.0,1.0,1.0,1,29,[33],0.45,concave_tuned
Class1,P1,Class1_example_0011,5.0,0.04294001738233966,5.000184381109641,5.000184381109641,0.0,1.0,1.0,1,28,[33],0.45,concave_tuned
Class1,P1,Class1_example_0012,,,,,,,1.0,0,29,[],0.45,concave_tuned
Class1,P1,Class1_example_0013,,,,,,,1.0,0,38,[],0.45,concave_tuned
Class1,P1,Class1_example_0014,2.0,0.009479363493241522,2.0000224644568965,2.0000224644568965,1.0,0.0,0.0,1,35,[37],0.45,concave_tuned
Class1,P1,Class1_example_0015,3.0,0.010722288768497013,3.0000191611848805,3.0000191611848805,1.0,0.0,0.0,1,32,[35],0.45,concave_tuned
Class1,P1,Class1_example_0016,2.0,0.008852850635224452,2.0000195931451197,2.0000195931451197,1.0,0.0,0.0,1,33,[35],0.45,concave_tuned
Class1,P1,Class1_example_0017,,,,,,,1.0,0,32,[],0.45,concave_tuned
Class1,P1,Class1_example_0018,,,,,,,1.0,0,30,[],0.45,concave_tuned
Class1,P1,Class1_example_0019,6.0,0.05493354524225025,6.000251469263008,6.000251469263008,0.0,1.0,1.0,1,25,[31],0.45,concave_tuned
Class1,P1,Class1_example_0020,,,,,,,1.0,0,21,[],0.45,concave_tuned
Class1,P1,Class1_example_0021,,,,,,,1.0,0,21,[],0.45,concave_tuned
