Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,wavelet,1.705,0.01044811497150326,1.70503766568467,1.583365028519476,280.0,27.0,20.0,1.1933333333333334,1.0
Class1,P2,wavelet,3.673758865248227,0.018847553532140925,3.673829126590008,3.6099974945612328,227.0,68.0,73.0,1.06,0.94
Class1,P3,wavelet,5.607185990338164,0.03136941894977867,5.607300061163932,5.083440219016979,204.0,115.0,96.0,1.22,0.92
Class2,P1,wavelet,2.8961111111111113,0.025255091677621765,2.8962321548165537,2.753443018814568,215.0,121.0,85.0,1.21,1.0
Class2,P2,wavelet,3.1603535353535355,0.012573358146213636,3.1603896718533213,2.8333680585132957,166.0,51.0,134.0,0.7933333333333333,0.66
Class2,P3,wavelet,10.824074074074073,0.08118791325748491,10.824414962919121,10.596294500471052,85.0,145.0,215.0,0.8233333333333334,0.66
Class3,P1,wavelet,1.71,0.015259705364210525,1.7100797093197677,1.6167382790185518,290.0,15.0,10.0,1.1866666666666668,1.0
Class3,P2,wavelet,3.00938566552901,0.012317894260167278,3.0094225284938374,2.505154873888773,240.0,84.0,60.0,1.1766666666666667,0.9766666666666667
Class3,P3,wavelet,9.292441140024783,0.07722619769468593,9.292795394747356,8.948297050431472,100.0,226.0,200.0,1.1466666666666667,0.8966666666666666
Class4,P1,wavelet,,,,,0.0,0.0,41.0,1.0,0.59
Class4,P2,wavelet,65.01633986928105,0.5810924629119546,65.01898708151766,63.84574930515671,0.0,61.0,100.0,0.61,0.51
Class4,P3,wavelet,,,,,0.0,0.0,76.0,0.31,0.24
