Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,,,,,,,1,0,31,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0002,,,,,,,1,0,31,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0003,,,,,,,1,0,33,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0004,,,,,,,1,0,38,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0005,,,,,,,1,0,38,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0006,,,,,,,1,0,25,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0007,,,,,,,1,0,31,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0008,,,,,,,1,0,31,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0009,,,,,,,1,0,37,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0010,,,,,,,1,0,29,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0011,,,,,,,1,0,28,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0012,,,,,,,1,0,29,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0013,5.0,0.033821401684756336,5.000114387412744,5.000114387412744,0.0,1.0,1,1,38,[33],0.11666666666666667,hilbert
Class1,P1,Class1_example_0014,3.0,0.020408881735589524,3.000069419605769,3.000069419605769,1.0,0.0,0,1,35,[32],0.11666666666666667,hilbert
Class1,P1,Class1_example_0015,3.0,0.020998114661863188,3.000073485903196,3.000073485903196,1.0,0.0,0,1,32,[29],0.11666666666666667,hilbert
Class1,P1,Class1_example_0016,4.0,0.030412941709879182,4.000115616707029,4.000115616707029,0.0,1.0,1,1,33,[29],0.11666666666666667,hilbert
Class1,P1,Class1_example_0017,,,,,,,1,0,32,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0018,,,,,,,1,0,30,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0019,,,,,,,1,0,25,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0020,,,,,,,1,0,21,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0021,,,,,,,1,0,21,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0022,,,,,,,1,0,22,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0023,,,,,,,1,0,37,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0024,,,,,,,1,0,44,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0025,,,,,,,1,0,38,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0026,,,,,,,1,0,39,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0027,,,,,,,1,0,31,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0028,,,,,,,1,0,31,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0029,2.0,0.014155513084220805,2.0000500940103167,2.0000500940103167,1.0,0.0,0,1,39,[37],0.11666666666666667,hilbert
Class1,P1,Class1_example_0030,,,,,,,1,0,25,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0031,,,,,,,1,0,33,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0032,,,,,,,1,0,25,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0033,,,,,,,1,0,26,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0034,,,,,,,1,0,39,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0035,,,,,,,1,0,32,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0036,,,,,,,1,0,36,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0037,,,,,,,1,0,37,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0038,,,,,,,1,0,31,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0039,,,,,,,1,0,25,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0040,,,,,,,1,0,37,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0041,,,,,,,1,0,36,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0042,,,,,,,1,0,36,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0043,,,,,,,1,0,35,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0044,,,,,,,1,0,35,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0045,,,,,,,1,0,41,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0046,3.0,0.01966546840486516,3.000064454415535,3.000064454415535,1.0,0.0,0,1,34,[31],0.11666666666666667,hilbert
Class1,P1,Class1_example_0047,3.0,0.031155072349156376,3.0001617687273265,3.0001617687273265,1.0,0.0,0,1,37,[34],0.11666666666666667,hilbert
Class1,P1,Class1_example_0048,,,,,,,1,0,23,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0049,,,,,,,1,0,36,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0050,2.0,0.012753849092358993,2.000040664753262,2.000040664753262,1.0,0.0,0,1,42,[40],0.11666666666666667,hilbert
Class1,P1,Class1_example_0051,,,,,,,1,0,29,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0052,,,,,,,1,0,31,[],0.11666666666666667,hilbert
Class1,P1,Class1_example_0053,3.0,0.009768321123125867,3.0000159033074416,3.0000159033074416,1.0,0.0,0,1,27,[24],0.11666666666666667,hilbert
