Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,4.0,0.0670137327193856,4.000561315662214,4.000561315662214,0.0,1.0,1.0,1,31,[27],1.0,hilbert
Class1,P1,Class1_example_0002,4.0,0.06801094248732964,4.000578144255904,4.000578144255904,0.0,1.0,1.0,1,31,[27],1.0,hilbert
Class1,P1,Class1_example_0003,5.0,0.07569087205371516,5.0005728779923055,5.0005728779923055,0.0,1.0,1.0,1,33,[28],1.0,hilbert
Class1,P1,Class1_example_0004,4.0,0.03991920104612168,4.000199187867044,4.000199187867044,0.0,1.0,1.0,1,38,[34],1.0,hilbert
Class1,P1,Class1_example_0005,7.0,0.080310640800062,7.00046068477109,7.00046068477109,0.0,1.0,1.0,1,38,[31],1.0,hilbert
Class1,P1,Class1_example_0006,5.0,0.10322965717366162,5.001065522678162,5.001065522678162,0.0,1.0,1.0,1,25,[20],1.0,hilbert
Class1,P1,Class1_example_0007,4.0,0.06283275025957069,4.0004934638748235,4.0004934638748235,0.0,1.0,1.0,1,31,[27],1.0,hilbert
Class1,P1,Class1_example_0008,6.0,0.08771130829288043,6.000641071885774,6.000641071885774,0.0,1.0,1.0,1,31,[25],1.0,hilbert
Class1,P1,Class1_example_0009,5.0,0.06762503699497724,5.000457293651109,5.000457293651109,0.0,1.0,1.0,1,37,[32],1.0,hilbert
Class1,P1,Class1_example_0010,5.0,0.0933262846486379,5.000870903693308,5.000870903693308,0.0,1.0,1.0,1,29,[24],1.0,hilbert
Class1,P1,Class1_example_0011,4.0,0.09650111733287137,4.001163888876147,4.001163888876147,0.0,1.0,1.0,1,28,[24],1.0,hilbert
Class1,P1,Class1_example_0012,4.0,0.07020168119265169,4.000615987075275,4.000615987075275,0.0,1.0,1.0,1,29,[25],1.0,hilbert
Class1,P1,Class1_example_0013,7.0,0.06965404421435295,7.000346540413226,7.000346540413226,0.0,1.0,1.0,1,38,[31],1.0,hilbert
Class1,P1,Class1_example_0014,5.0,0.06021180557297379,5.000362533010017,5.000362533010017,0.0,1.0,1.0,1,35,[30],1.0,hilbert
