Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,concave,3.1337792642140467,0.032713241827741234,3.1339916700297006,3.1339916700297006,184.0,115.0,116.0,0.9966666666666667,0.9966666666666667
Class1,P2,concave,9.26984126984127,0.032487378196097864,9.269919314092768,9.269919314092768,32.0,31.0,268.0,0.21,0.21
Class1,P3,concave,1.5782608695652174,0.002345907895098684,1.578264618438567,1.578264618438567,206.0,24.0,94.0,0.7666666666666667,0.7666666666666667
Class2,P1,concave,4.896551724137931,0.04377885816652257,4.89682501294349,4.89682501294349,40.0,134.0,260.0,0.58,0.58
Class2,P2,concave,3.2777777777777777,0.008530486956679743,3.277796990578225,3.277796990578225,102.0,42.0,198.0,0.48,0.48
Class2,P3,concave,1.2159090909090908,0.001971771351792073,1.215911510056988,1.215911510056988,84.0,4.0,216.0,0.29333333333333333,0.29333333333333333
Class3,P1,concave,4.291666666666667,0.03652233697750704,4.291845809818613,4.291845809818613,6.0,18.0,294.0,0.08,0.08
Class3,P2,concave,2.679324894514768,0.010029417101708252,2.679353915332904,2.679353915332904,176.0,61.0,124.0,0.79,0.79
Class3,P3,concave,1.4242424242424243,0.0029334444440024575,1.4242481244241993,1.4242481244241993,94.0,5.0,206.0,0.33,0.33
Class4,P1,concave,,,,,0.0,0.0,54.0,0.46,0.46
Class4,P2,concave,,,,,0.0,0.0,100.0,0.0,0.0
Class4,P3,concave,,,,,0.0,0.0,99.0,0.01,0.01
