Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,line_distance_3,2.202970297029703,0.014123951530509054,2.2030210298653894,2.2030210298653894,181.0,21.0,119,0.6733333333333333,0.6733333333333333
Class1,P2,line_distance_3,14.071829405162738,0.051883228466589944,14.071972074352768,3.0909583242247867,259.0,234.0,41,1.6433333333333333,0.99
Class1,P3,line_distance_3,17.847222222222225,0.1017564209484886,17.847585198678345,3.4100379071090328,207.0,365.0,93,1.9066666666666667,1.0
Class2,P1,line_distance_3,8.046594982078853,0.03368252692303144,8.046724821476838,4.921286296505355,164.0,195.0,136,1.1966666666666668,0.93
Class2,P2,line_distance_3,5.410774410774411,0.015382518666024084,5.410805780809843,2.0942916866325474,256.0,110.0,44,1.22,0.99
Class2,P3,line_distance_3,17.48160535117057,0.1382513849284062,17.48222046479251,5.244236787756427,109.0,430.0,191,1.7966666666666666,0.9966666666666667
Class3,P1,line_distance_3,2.228956228956229,0.023051242661947465,2.22908856624651,2.22908856624651,261.0,36.0,39,0.99,0.99
Class3,P2,line_distance_3,6.12248322147651,0.021903130822352866,6.122540186461881,3.308772671987469,198.0,178.0,102,1.2533333333333334,0.9933333333333333
Class3,P3,line_distance_3,13.493174061433447,0.05991198836664801,13.493357880326972,5.078586284396981,102.0,412.0,198,1.7133333333333334,0.9766666666666667
Class4,P1,line_distance_3,,,,,0.0,0.0,100,0.0,0.0
Class4,P2,line_distance_3,4.452830188679245,0.018557486234232812,4.452872407933758,4.452872407933758,17.0,36.0,83,0.53,0.53
Class4,P3,line_distance_3,,,,,0.0,0.0,100,0.0,0.0
