Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,1.0,0.0013924536881722016,1.0000009694631669,1.0000009694631669,1.0,0.0,0.0,1,39,[40],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,40,[40],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0003,1.0,0.0011307381540951456,1.0000006392841823,1.0000006392841823,1.0,0.0,0.0,1,40,[41],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0004,1.0,0.0014298222398717586,1.0000010221952964,1.0000010221952964,1.0,0.0,0.0,1,42,[43],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0005,1.0,0.0012147365434596047,1.000000737792163,1.000000737792163,1.0,0.0,0.0,1,39,[40],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0006,1.0,0.0014242841561949993,1.0000010142921645,1.0000010142921645,1.0,0.0,0.0,1,41,[42],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0007,1.0,0.0011790861212948034,1.000000695121799,1.000000695121799,1.0,0.0,0.0,1,42,[43],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0008,1.0,0.0003182838780476649,1.0000000506523123,1.0000000506523123,1.0,0.0,0.0,1,38,[39],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0009,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,38,[38],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0010,1.0,0.0004129061399520406,1.0000000852457367,1.0000000852457367,1.0,0.0,0.0,1,41,[42],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0011,2.0,0.0028835549020416185,2.000002078721138,2.000002078721138,1.0,0.0,0.0,1,35,[37],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0012,1.0,0.0014584721811472523,1.000001063569986,1.000001063569986,1.0,0.0,0.0,1,36,[37],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,36,[36],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0014,1.0,0.000557610122647545,1.0000001554645124,1.0000001554645124,1.0,0.0,0.0,1,41,[42],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0015,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,23,[23],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0016,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,29,[29],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0017,,,,,,,1.0,0,27,[],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,28,[28],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0019,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,28,[28],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0020,1.0,0.0008005860781333807,1.000000320468983,1.000000320468983,1.0,0.0,0.0,1,37,[38],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0021,1.0,0.00019296645249544664,1.0000000186180258,1.0000000186180258,1.0,0.0,0.0,1,37,[38],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,41,[41],0.896,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,45,[45],0.896,modified_scholkmann0-5
