Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,modified_scholkmann0-5,0.5133928571428571,0.0006280729284595244,0.5133933741564269,0.5133933741564269,223.0,1.0,27.0,0.896,0.896
Class1,P2,modified_scholkmann0-5,7.84375,0.025473693825407814,7.843823951179135,7.765700312597598,48.0,17.0,202.0,0.26,0.256
Class1,P3,modified_scholkmann0-5,1.5962732919254659,0.002653903946175033,1.5962768374248049,1.5962768374248049,145.0,16.0,105.0,0.644,0.644
Class2,P1,modified_scholkmann0-5,3.5,0.00710084188259593,3.5000116547274733,3.352952377549081,42.0,10.0,208.0,0.208,0.204
Class2,P2,modified_scholkmann0-5,3.6390977443609023,0.008260656428554081,3.63911160009165,3.63911160009165,113.0,20.0,137.0,0.532,0.532
Class2,P3,modified_scholkmann0-5,1.793103448275862,0.006107323071639686,1.7931232363453025,1.7931232363453025,51.0,7.0,199.0,0.232,0.232
Class3,P1,modified_scholkmann0-5,27.625,0.33557449777619136,27.62709596196668,27.62709596196668,0.0,8.0,250.0,0.032,0.032
Class3,P2,modified_scholkmann0-5,2.1907514450867054,0.002723427553887823,2.1907540423875704,2.1907540423875704,160.0,13.0,90.0,0.692,0.692
Class3,P3,modified_scholkmann0-5,0.7142857142857143,0.0007558054268312618,0.7142861847002416,0.7142861847002416,42.0,0.0,208.0,0.168,0.168
Class4,P1,modified_scholkmann0-5,,,,,0.0,0.0,26.0,0.48,0.48
Class4,P2,modified_scholkmann0-5,,,,,0.0,0.0,50.0,0.0,0.0
Class4,P3,modified_scholkmann0-5,,,,,0.0,0.0,50.0,0.0,0.0
