Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,wavelet,3.922,0.041735060494722975,3.9222348111246568,3.7442133005389793,132.0,153.0,118.0,1.184,1.0
Class1,P2,wavelet,4.8940677966101696,0.025662637371247556,4.894163401433384,4.699243771257343,163.0,92.0,87.0,1.08,0.944
Class1,P3,wavelet,9.35509461426492,0.057790977122894875,9.35531207723876,7.201052208260233,144.0,209.0,106.0,1.528,0.916
Class2,P1,wavelet,4.9286666666666665,0.0541039031602985,4.929002753022036,4.5283322468407174,105.0,182.0,145.0,1.188,1.0
Class2,P2,wavelet,5.792768959435626,0.02908489760491747,5.792881042493755,4.6932214910300925,151.0,77.0,99.0,0.968,0.756
Class2,P3,wavelet,16.243399339933994,0.13539357281930042,16.24400196827138,14.079735517276536,91.0,204.0,159.0,1.252,0.808
Class3,P1,wavelet,3.714190093708166,0.05054807855295633,3.7145652438123506,3.0685849140784045,165.0,126.0,85.0,1.272,0.996
Class3,P2,wavelet,4.046783625730994,0.018141834784194236,4.046852544138428,3.3026889752696142,190.0,85.0,60.0,1.204,0.912
Class3,P3,wavelet,10.450498575498575,0.08758365013124907,10.450901156906,8.914871573172208,127.0,172.0,123.0,1.256,0.936
Class4,P1,wavelet,,,,,0.0,0.0,18.0,1.14,0.64
Class4,P2,wavelet,59.97303921568627,0.5361986563316413,59.975499402952714,57.70826006416125,0.0,47.0,50.0,0.94,0.68
Class4,P3,wavelet,,,,,0.0,0.0,28.0,0.6,0.44
