Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,concave_tuned,0.02531645569620253,3.0442011420692995e-05,0.025316484781462298,0.025316484781462298,237.0,0.0,13,0.948,0.948
Class1,P2,concave_tuned,15.422161172161173,0.055808357012477265,15.422322301249748,12.439689200118798,45.0,87.0,205,0.532,0.364
Class1,P3,concave_tuned,8.239842632331904,0.03240540789648816,8.239941784563268,1.103009339919836,223.0,191.0,27,1.712,0.932
Class2,P1,concave_tuned,4.841617933723197,0.007604937470326352,4.841627182008671,3.0877262742678178,147.0,64.0,103,0.852,0.684
Class2,P2,concave_tuned,5.876180555555555,0.01049433753703641,5.876195463983688,1.9916759544605178,219.0,135.0,31,1.432,0.96
Class2,P3,concave_tuned,13.129838709677419,0.09515615862864271,13.130284987008276,9.218034453646812,57.0,143.0,193,0.8,0.496
Class3,P1,concave_tuned,2.526315789473684,0.008373675415066515,2.52633857714778,2.473707014726646,15.0,4.0,235,0.08,0.076
Class3,P2,concave_tuned,1.7039381153305204,0.004047066723785695,1.7039458368983822,0.7763783240309582,229.0,39.0,21,1.088,0.948
Class3,P3,concave_tuned,5.014367816091954,0.011254158065090997,5.0143914576166315,3.735640180035072,144.0,74.0,106,0.884,0.696
Class4,P1,concave_tuned,,,,,0.0,0.0,50,0.0,0.0
Class4,P2,concave_tuned,0.0,0.0,0.0,0.0,19.0,0.0,31,0.38,0.38
Class4,P3,concave_tuned,,,,,0.0,0.0,50,0.0,0.0
