Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,hilbert,5.231481481481482,0.047012790458363526,5.231738151193969,5.074332429983922,26.0,84.0,224,0.44,0.432
Class1,P2,hilbert,20.358908045977014,0.06774153453060713,20.35907604381783,11.955802067937753,126.0,308.0,124,1.756,0.812
Class1,P3,hilbert,9.0897397094431,0.03495963643106909,9.089838223652706,1.4025453995175934,217.0,287.0,33,2.044,0.944
Class2,P1,hilbert,10.421138211382114,0.06392411812198363,10.421522578422016,7.815099755802694,25.0,275.0,225,1.2,0.82
Class2,P2,hilbert,6.1093401547947,0.017359701701879577,6.109378905219473,1.5413249016472568,229.0,212.0,21,1.796,0.968
Class2,P3,hilbert,13.061278016213638,0.08807252218506492,13.061650172107042,4.390703014561665,198.0,325.0,52,2.108,0.932
Class3,P1,hilbert,3.5,0.04783669721602401,3.500363705163332,3.262975409775785,108.0,114.0,142,0.896,0.792
Class3,P2,hilbert,4.544149659863946,0.015850163542156744,4.544190280948484,1.4408215121270092,236.0,127.0,14,1.46,0.98
Class3,P3,hilbert,14.113811541565779,0.0802705331664004,14.114133684996457,5.406986130698034,192.0,281.0,58,1.916,0.944
Class4,P1,hilbert,,,,,0.0,0.0,50,0.0,0.0
Class4,P2,hilbert,2.433333333333333,0.005272920203394716,2.4333410117637233,1.6222277798316043,40.0,22.0,10,1.26,0.9
Class4,P3,hilbert,,,,,0.0,0.0,50,0.0,0.0
