Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,31.0,0.3893536125264794,31.003735743257998,0.0,1.0,3.0,0.0,4,39,"[4, 39, 59, 108]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0002,32.333333333333336,0.4108737281402997,32.337810133287576,0.0,1.0,2.0,0.0,3,40,"[4, 40, 101]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0003,33.333333333333336,0.4193418708708306,33.33789478428208,0.0,1.0,2.0,0.0,3,40,"[4, 40, 104]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0004,33.333333333333336,0.4176967594548639,33.33765727394255,0.0,1.0,2.0,0.0,3,42,"[4, 42, 104]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0005,32.0,0.43477816874267994,32.00487546555944,0.0,1.0,2.0,0.0,3,39,"[4, 39, 100]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0006,31.666666666666668,0.40549573264021377,31.670995696460494,0.0,1.0,2.0,0.0,3,41,"[4, 41, 99]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0007,33.333333333333336,0.43023166351260195,33.33769487114397,0.0,1.0,2.0,0.0,3,42,"[4, 42, 104]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0008,32.25,0.31617486011514917,32.253380321972685,0.0,1.0,3.0,0.0,4,38,"[4, 38, 71, 100]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0009,33.0,0.3219000713818107,33.0034154804638,0.0,1.0,3.0,0.0,4,38,"[4, 38, 70, 104]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0010,34.333333333333336,0.4185921821269651,34.33772316164683,0.0,1.0,2.0,0.0,3,41,"[4, 41, 107]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0011,30.333333333333332,0.4040262526832825,30.338526721465467,0.0,1.0,2.0,0.0,3,35,"[4, 35, 95]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0012,32.666666666666664,0.43008484181689743,32.671924170144415,0.0,1.0,2.0,0.0,3,36,"[4, 36, 102]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0013,21.5,0.11980481842324758,21.50033379263023,0.0,1.0,1.0,0.0,2,36,"[36, 79]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0014,65.44444444444444,0.43498806459230177,65.44655389876385,0.0,1.0,8.0,0.0,9,41,"[4, 41, 60, 85, 120, 125, 136, 141, 172]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0015,70.58333333333333,0.42409466949648955,70.58588083249207,0.0,1.0,11.0,0.0,12,23,"[4, 23, 58, 64, 68, 72, 75, 121, 127, 132, 169, 172]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0016,82.33333333333333,0.5949603169118481,82.33744303374203,0.0,1.0,5.0,0.0,6,29,"[4, 29, 79, 164, 168, 174]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0017,91.54545454545455,0.7019444749280412,91.54933530939196,0.0,1.0,10.0,0.0,11,27,"[4, 27, 86, 91, 113, 131, 149, 155, 160, 167, 175]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0018,90.54545454545455,0.6431856998384606,90.54878375401529,0.0,1.0,10.0,0.0,11,28,"[4, 28, 87, 90, 105, 138, 143, 150, 165, 171, 175]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0019,25.75,0.3105782347769247,25.75504404975616,0.0,1.0,3.0,0.0,4,28,"[4, 28, 51, 84]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0020,50.2,0.46487032454912847,50.20340280323689,0.0,1.0,4.0,0.0,5,37,"[4, 37, 66, 103, 160]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0021,68.1,0.6361352457145539,68.10422432143737,0.0,1.0,9.0,0.0,10,37,"[4, 7, 37, 83, 90, 111, 123, 140, 157, 173]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0022,43.0,0.27047225274208314,43.00095922882597,0.0,1.0,2.0,0.0,3,41,"[41, 85, 126]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0023,36.75,0.3442970607454461,36.752869532755966,0.0,1.0,3.0,0.0,4,45,"[4, 45, 78, 118]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0024,42.75,0.47008011830667285,42.75362967048181,0.0,1.0,3.0,0.0,4,46,"[4, 46, 87, 134]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0025,41.0,0.6229269131936613,41.00724150624953,0.0,1.0,3.0,0.0,4,43,"[5, 10, 43, 136]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0026,44.0,0.4452959954601475,44.00393776414511,0.0,1.0,3.0,0.0,4,41,"[4, 41, 88, 133]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0027,43.4,0.41454879695784996,43.403105714285374,0.0,1.0,4.0,0.0,5,44,"[4, 44, 87, 91, 131]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0028,39.75,0.3994139525953557,39.75367558289054,0.0,1.0,3.0,0.0,4,45,"[10, 45, 88, 126]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0029,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,58,[58],1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0030,63.72727272727273,0.5024541384873192,63.73036348153811,0.0,1.0,10.0,0.0,11,28,"[3, 28, 43, 50, 72, 87, 93, 100, 144, 166, 173]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0031,78.52941176470588,0.5005297699267002,78.5315738281484,0.0,1.0,16.0,0.0,17,27,"[4, 27, 48, 54, 58, 80, 86, 90, 105, 113, 130, 144, 150, 158, 161, 165, 175]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0032,71.3125,0.5654732792173423,71.3157949123536,0.0,1.0,15.0,0.0,16,34,"[3, 6, 34, 39, 53, 74, 81, 87, 93, 133, 139, 153, 160, 165, 172, 175]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0033,79.75,0.5847341827055152,79.75288289629025,0.0,1.0,11.0,0.0,12,34,"[4, 34, 76, 83, 91, 96, 103, 152, 160, 164, 168, 174]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0034,54.1,0.37923372327534427,54.10251839969071,0.0,1.0,9.0,0.0,10,31,"[4, 31, 48, 54, 70, 78, 83, 88, 167, 174]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0035,31.75,0.353178590966722,31.75317266329087,0.0,1.0,3.0,0.0,4,39,"[4, 39, 75, 95]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0036,35.5,0.41026338105741955,35.50375239450202,0.0,1.0,3.0,0.0,4,40,"[4, 40, 74, 112]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0037,38.833333333333336,0.4347038579648667,38.836601427071365,0.0,1.0,5.0,0.0,6,39,"[4, 39, 64, 74, 105, 111]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0038,50.0,0.4394306784082513,50.00334300424936,0.0,1.0,4.0,0.0,5,38,"[5, 38, 73, 109, 149]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0039,47.75,0.3609499314952403,47.753087660742615,0.0,1.0,7.0,0.0,8,29,"[6, 29, 49, 72, 76, 84, 89, 163]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0040,31.5,0.14280739906929218,31.50033306454512,0.0,1.0,3.0,0.0,4,29,"[29, 63, 69, 81]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0041,32.2,0.27327160698114417,32.203125241369094,0.0,1.0,4.0,0.0,5,33,"[4, 33, 64, 82, 85]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0042,65.6,0.5309230090387056,65.60310617226506,0.0,1.0,4.0,0.0,5,43,"[4, 43, 105, 153, 160]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0043,27.5,0.31453698353275394,27.503755613998692,0.0,1.0,3.0,0.0,4,35,"[4, 35, 58, 91]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0044,26.25,0.3345079781234413,26.255025103803668,0.0,1.0,3.0,0.0,4,28,"[4, 28, 56, 81]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0045,29.25,0.37514548020534055,29.254679760429354,0.0,1.0,3.0,0.0,4,30,"[4, 30, 58, 93]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0046,28.0,0.32842551045365853,28.004498493556625,0.0,1.0,3.0,0.0,4,29,"[3, 29, 57, 87]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0047,27.5,0.2946262737144958,27.504665421510918,0.0,1.0,3.0,0.0,4,29,"[4, 29, 57, 86]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0048,29.0,0.4255890054686784,29.005972911867165,0.0,1.0,2.0,0.0,3,30,"[3, 30, 90]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0049,26.75,0.33609789853173583,26.754693904881456,0.0,1.0,3.0,0.0,4,30,"[4, 30, 52, 89]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0050,28.0,0.5041946737999461,28.00556701213013,0.0,1.0,2.0,0.0,3,61,"[32, 61, 116]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0051,28.0,0.41248087527577165,28.006088293417395,0.0,1.0,2.0,0.0,3,30,"[4, 30, 88]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0052,31.666666666666668,0.44193779117813065,31.671818986700156,0.0,1.0,2.0,0.0,3,37,"[4, 37, 99]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0053,30.666666666666668,0.38242265649361507,30.67174516922518,0.0,1.0,2.0,0.0,3,36,"[4, 36, 96]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0054,31.25,0.30523586216893395,31.25347509447042,0.0,1.0,3.0,0.0,4,35,"[4, 35, 66, 98]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0055,39.75,0.5091933584371858,39.75471956768145,0.0,1.0,3.0,0.0,4,67,"[4, 33, 67, 129]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0056,26.333333333333332,0.42810978100330793,26.339309591678088,0.0,1.0,2.0,0.0,3,30,"[3, 30, 82]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0057,14.5,0.4857830354648138,14.508135137141004,0.0,1.0,1.0,0.0,2,33,"[4, 33]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0058,31.0,0.3239350364152233,31.00280589247584,0.0,1.0,3.0,0.0,4,45,"[4, 45, 65, 108]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0059,29.75,0.30966861564792636,29.753978826001536,0.0,1.0,3.0,0.0,4,33,"[3, 33, 60, 95]",1.0,concave_d2x=0-002
Class1,P1,Class1_it2_example_0060,22.333333333333332,0.3987578763716712,22.340066109586953,0.0,1.0,2.0,0.0,3,28,"[4, 28, 71]",1.0,concave_d2x=0-002
